WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999917E+00      1.0000000000000E+00      1.0808430480585E+01      0.0000000000000E+00     -1.9195334634019E-06      9.8687926853680E-04      1.0107053277241E+01      1.1083624167456E+00      0.0000000000000E+00      0.0000000000000E+00      1.1083624167456E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760554E-03     -1.9999999966211E+00      1.0000000000000E+00      1.0804418955250E+01      0.0000000000000E+00     -1.5543106629700E-04      2.9596638749201E-03      1.0106247346207E+01      1.1082740365180E+00      0.0000000000000E+00      0.0000000000000E+00      1.1082740365180E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325332477E-03     -1.9999999455249E+00      1.0000000000000E+00      1.0796399863470E+01      0.0000000000000E+00     -1.1985248707318E-03      4.9295276503831E-03      1.0102876983879E+01      1.1079044349307E+00      0.0000000000000E+00      0.0000000000000E+00      1.1079044349307E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089078233E-02     -1.9999996317628E+00      1.0000000000000E+00      1.0784381119122E+01      0.0000000000000E+00     -4.5997104785329E-03      6.8945265772042E-03      1.0096359041029E+01      1.1071896625146E+00      0.0000000000000E+00      0.0000000000000E+00      1.1071896625146E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684443211E-02     -1.9999984190923E+00      1.0000000000000E+00      1.0768374583255E+01      0.0000000000000E+00     -1.2552687374024E-02      8.8527214386802E-03      1.0086316061250E+01      1.1060883265432E+00      0.0000000000000E+00      0.0000000000000E+00      1.1060883265432E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346840283E-02     -1.9999948782397E+00      1.0000000000000E+00      1.0748396052386E+01      0.0000000000000E+00     -2.7965509301081E-02      1.0802179732898E-02      1.0072481010105E+01      1.1045711434136E+00      0.0000000000000E+00      0.0000000000000E+00      1.1045711434136E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554374466787E-02     -1.9999862993220E+00      1.0000000000000E+00      1.0724465242916E+01      0.0000000000000E+00     -5.4446206630666E-02      1.2740977579883E-02      1.0054660713075E+01      1.1026169291692E+00      0.0000000000000E+00      0.0000000000000E+00      1.1026169291692E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260141913157E-02     -1.9999680952238E+00      1.0000000000000E+00      1.0696605771662E+01      0.0000000000000E+00     -9.6284926393664E-02      1.4667201620233E-02      1.0032716726593E+01      1.1002105017741E+00      0.0000000000000E+00      0.0000000000000E+00      1.1002105017741E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885104317434E-02     -1.9999331043049E+00      1.0000000000000E+00      1.0664845132559E+01      0.0000000000000E+00     -1.5843266403737E-01      1.6578950903376E-02      1.0006553967959E+01      1.0973414342434E+00      0.0000000000000E+00      0.0000000000000E+00      1.0973414342434E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413795747044E-02     -1.9998708023109E+00      1.0000000000000E+00      1.0629214669525E+01      0.0000000000000E+00     -2.4647667512175E-01      1.8474338763579E-02      9.9761132835905E+00      1.0940032396610E+00      0.0000000000000E+00      0.0000000000000E+00      1.0940032396610E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782881650763E-01     -1.9997664347746E+00      1.0000000000000E+00      1.0589749545524E+01      0.0000000000000E+00     -3.6661266897699E-01      2.0351494681856E-02      9.9413662693572E+00      1.0901928031654E+00      0.0000000000000E+00      0.0000000000000E+00      1.0901928031654E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911080188265E-01     -1.9996000825354E+00      1.0000000000000E+00      1.0546488707868E+01      0.0000000000000E+00     -5.2561389974186E-01      2.2208566131948E-02      9.9023115238846E+00      1.0859099710788E+00      0.0000000000000E+00      0.0000000000000E+00      1.0859099710788E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5223836222636E-01     -1.9993456742932E+00      1.0000000000000E+00      1.0499474849782E+01      0.0000000000000E+00     -7.3079728313881E-01      2.4043720408540E-02      9.8589719098806E+00      1.0811572505775E+00      0.0000000000000E+00      0.0000000000000E+00      1.0811572505775E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7718798142643E-01     -1.9989699613841E+00      1.0000000000000E+00      1.0448754368268E+01      0.0000000000000E+00     -9.8998667976610E-01      2.5855146435923E-02      9.8113925951808E+00      1.0759395948690E+00      0.0000000000000E+00      0.0000000000000E+00      1.0759395948690E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0393385761121E-01     -1.9984314712766E+00      1.0000000000000E+00      1.0394377318317E+01      0.0000000000000E+00     -1.3114734975482E+00      2.7641056555303E-02      9.7596397523873E+00      1.0702642605912E+00      0.0000000000000E+00      0.0000000000000E+00      1.0702642605912E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3244766672044E-01     -1.9976794577286E+00      1.0000000000000E+00      1.0336397363513E+01      0.0000000000000E+00     -1.7039747772373E+00      2.9399688289009E-02      9.7037998606919E+00      1.0641407312486E+00      0.0000000000000E+00      0.0000000000000E+00      1.0641407312486E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6269822633756E-01     -1.9966528672108E+00      1.0000000000000E+00      1.0274871723071E+01      0.0000000000000E+00     -2.1765889354545E+00      3.1129306079840E-02      9.6439795987659E+00      1.0575807054666E+00      0.0000000000000E+00      0.0000000000000E+00      1.0575807054666E+00      0.0000000000000E+00
