WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999911E+00      1.0000000000000E+00      6.6977391669646E+00      0.0000000000000E+00     -2.0631240734021E-06      9.8687926853680E-04      6.3201053842821E+00      6.9307711017843E-01      0.0000000000000E+00      0.0000000000000E+00      6.9307711017843E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760547E-03     -1.9999999963683E+00      1.0000000000000E+00      6.6960227636050E+00      0.0000000000000E+00     -1.6705807987040E-04      2.9596638749201E-03      6.3197887051653E+00      6.9304238242727E-01      0.0000000000000E+00      0.0000000000000E+00      6.9304238242727E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325331707E-03     -1.9999999414499E+00      1.0000000000000E+00      6.6925916507687E+00      0.0000000000000E+00     -1.2881804670813E-03      4.9295276503831E-03      6.3184579619585E+00      6.9289645010492E-01      0.0000000000000E+00      0.0000000000000E+00      6.9289645010492E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089076462E-02     -1.9999996042168E+00      1.0000000000000E+00      6.6874492145499E+00      0.0000000000000E+00     -4.9437916036381E-03      6.8945265772042E-03      6.3158777143207E+00      6.9261349428891E-01      0.0000000000000E+00      0.0000000000000E+00      6.9261349428891E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684424016E-02     -1.9999983008326E+00      1.0000000000000E+00      6.6806005299123E+00      0.0000000000000E+00     -1.3491690560183E-02      8.8527214386802E-03      6.3118927186226E+00      6.9217649061024E-01      0.0000000000000E+00      0.0000000000000E+00      6.9217649061024E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346708332E-02     -1.9999944951067E+00      1.0000000000000E+00      6.6720523556806E+00      0.0000000000000E+00     -3.0057467903555E-02      1.0802179732898E-02      6.3063907261461E+00      6.9157312961956E-01      0.0000000000000E+00      0.0000000000000E+00      6.9157312961956E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554373801004E-02     -1.9999852744437E+00      1.0000000000000E+00      6.6618131278710E+00      0.0000000000000E+00     -5.8519052546212E-02      1.2740977579883E-02      6.2992883058885E+00      6.9079426208365E-01      0.0000000000000E+00      0.0000000000000E+00      6.9079426208365E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260139229419E-02     -1.9999657085898E+00      1.0000000000000E+00      6.6498929513649E+00      0.0000000000000E+00     -1.0348751576507E-01      1.4667201620233E-02      6.2905234654631E+00      6.8983308977656E-01      0.0000000000000E+00      0.0000000000000E+00      6.8983308977656E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885095196471E-02     -1.9999281001826E+00      1.0000000000000E+00      6.6363035899375E+00      0.0000000000000E+00     -1.7028421198801E-01      1.6578950903376E-02      6.2800512793238E+00      6.8868468606091E-01      0.0000000000000E+00      0.0000000000000E+00      6.8868468606091E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413768639425E-02     -1.9998611377158E+00      1.0000000000000E+00      6.6210584546479E+00      0.0000000000000E+00     -2.6491435116329E-01      1.8474338763579E-02      6.2678410301271E+00      6.8734568240301E-01      0.0000000000000E+00      0.0000000000000E+00      6.8734568240301E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782874420721E-01     -1.9997489630643E+00      1.0000000000000E+00      6.6041725906040E+00      0.0000000000000E+00     -3.9403711236493E-01      2.0351494681856E-02      6.2538742053086E+00      6.8581404867303E-01      0.0000000000000E+00      0.0000000000000E+00      6.8581404867303E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911062549885E-01     -1.9995701671629E+00      1.0000000000000E+00      6.5856626621150E+00      0.0000000000000E+00     -5.6493242268764E-01      2.2208566131948E-02      6.2381430301865E+00      6.8408893228170E-01      0.0000000000000E+00      0.0000000000000E+00      6.8408893228170E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5223796292459E-01     -1.9992967288478E+00      1.0000000000000E+00      6.5655469362455E+00      0.0000000000000E+00     -7.8546453938891E-01      2.4043720408540E-02      6.2206493729083E+00      6.8217053809433E-01      0.0000000000000E+00      0.0000000000000E+00      6.8217053809433E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7718713319507E-01     -1.9988929132807E+00      1.0000000000000E+00      6.5438452647884E+00      0.0000000000000E+00     -1.0640425865896E+00      2.5855146435923E-02      6.2014039332862E+00      6.8006003947661E-01      0.0000000000000E+00      0.0000000000000E+00      6.8006003947661E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0393215181741E-01     -1.9983141478664E+00      1.0000000000000E+00      6.5205790646733E+00      0.0000000000000E+00     -1.4095782105923E+00      2.7641056555303E-02      6.1804256693087E+00      6.7775951540461E-01      0.0000000000000E+00      0.0000000000000E+00      6.7775951540461E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3244439621991E-01     -1.9975058952519E+00      1.0000000000000E+00      6.4957712968308E+00      0.0000000000000E+00     -1.8314405299709E+00      2.9399688289009E-02      6.1577414403185E+00      6.7527191133486E-01      0.0000000000000E+00      0.0000000000000E+00      6.7527191133486E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6269221341718E-01     -1.9964025449813E+00      1.0000000000000E+00      6.4694464435327E+00      0.0000000000000E+00     -2.3394085679722E+00      3.1129306079840E-02      6.1333858633919E+00      6.7260102345458E-01      0.0000000000000E+00      0.0000000000000E+00      6.7260102345458E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9464038267591E-01     -1.9949263478518E+00      1.0000000000000E+00      6.4416304842310E+00      0.0000000000000E+00     -2.9436213654099E+00      3.2828203003857E-02      6.1074013944684E+00      6.6975150757849E-01      0.0000000000000E+00      0.0000000000000E+00      6.6975150757849E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.2824940070253E-01     -1.9929864201468E+00      1.0000000000000E+00      6.4123508699191E+00      0.0000000000000E+00     -3.6545259820793E+00      3.4494702454906E-02      6.0798386617024E+00      6.6672891570501E-01      0.0000000000000E+00      0.0000000000000E+00      6.6672891570501E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.6347455473955E-01     -1.9904778489176E+00      1.0000000000000E+00      6.3816364960416E+00      0.0000000000000E+00     -4.4828236037335E+00      3.6127159799229E-02      6.0507570986778E+00      6.6353976545593E-01      0.0000000000000E+00      0.0000000000000E+00      6.6353976545593E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.0026474796725E-01     -1.9872809345409E+00      1.0000000000000E+00      6.3495176739771E+00      0.0000000000000E+00     -5.4394139798099E+00      3.7723963998514E-02      6.0202259536313E+00      6.6019165075013E-01      0.0000000000000E+00      0.0000000000000E+00      6.6019165075013E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.3856104215222E-01     -1.9832606130698E+00      1.0000000000000E+00      6.3160261011253E+00      0.0000000000000E+00     -6.5353384243400E+00      3.9283539199802E-02      5.9883257939441E+00      6.5669340678964E-01      0.0000000000000E+00      0.0000000000000E+00      6.5669340678964E-01      0.0000000000000E+00
