WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999915E+00      1.0000000000000E+00      1.1552387373291E+01      0.0000000000000E+00     -1.9664890168020E-06      9.8687926853680E-04      1.0973281365789E+01      1.2033549562465E+00      0.0000000000000E+00      0.0000000000000E+00      1.2033549562465E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760552E-03     -1.9999999965384E+00      1.0000000000000E+00      1.1548331756660E+01      0.0000000000000E+00     -1.5923321503580E-04      2.9596638749201E-03      1.0972294021571E+01      1.2032466818372E+00      0.0000000000000E+00      0.0000000000000E+00      1.2032466818372E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325332232E-03     -1.9999999441923E+00      1.0000000000000E+00      1.1540224525803E+01      0.0000000000000E+00     -1.2278431398159E-03      4.9295276503831E-03      1.0968168333040E+01      1.2027942494629E+00      0.0000000000000E+00      0.0000000000000E+00      1.2027942494629E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089077668E-02     -1.9999996227550E+00      1.0000000000000E+00      1.1528073681576E+01      0.0000000000000E+00     -4.7122284185538E-03      6.8945265772042E-03      1.0960213458462E+01      1.2019218998502E+00      0.0000000000000E+00      0.0000000000000E+00      1.2019218998502E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684437087E-02     -1.9999983804202E+00      1.0000000000000E+00      1.1511891215397E+01      0.0000000000000E+00     -1.2859750727608E-02      8.8527214386802E-03      1.0947997476453E+01      1.2005822675191E+00      0.0000000000000E+00      0.0000000000000E+00      1.2005822675191E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346798180E-02     -1.9999947529514E+00      1.0000000000000E+00      1.1491693097405E+01      0.0000000000000E+00     -2.8649600509186E-02      1.0802179732898E-02      1.0931227033938E+01      1.1987431827051E+00      0.0000000000000E+00      0.0000000000000E+00      1.1987431827051E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554374254352E-02     -1.9999859641766E+00      1.0000000000000E+00      1.1467499260705E+01      0.0000000000000E+00     -5.5778067633794E-02      1.2740977579883E-02      1.0909700177110E+01      1.1963824986953E+00      0.0000000000000E+00      0.0000000000000E+00      1.1963824986953E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260141056842E-02     -1.9999673147708E+00      1.0000000000000E+00      1.1439333581693E+01      0.0000000000000E+00     -9.8640244543240E-02      1.4667201620233E-02      1.0883281165967E+01      1.1934853299325E+00      0.0000000000000E+00      0.0000000000000E+00      1.1934853299325E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885101407159E-02     -1.9999314679071E+00      1.0000000000000E+00      1.1407223856493E+01      0.0000000000000E+00     -1.6230823774417E-01      1.6578950903376E-02      1.0851885211126E+01      1.1900423782205E+00      0.0000000000000E+00      0.0000000000000E+00      1.1900423782205E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413787097670E-02     -1.9998676418917E+00      1.0000000000000E+00      1.1371201773527E+01      0.0000000000000E+00     -2.5250597802621E-01      1.8474338763579E-02      1.0815468351597E+01      1.1860488226974E+00      0.0000000000000E+00      0.0000000000000E+00      1.1860488226974E+00      0.0000000000000E+00
