WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      1.2336751833941E-04     -1.0000000000000E+00      1.0000000000000E+00      6.6519205561586E+00      0.0000000000000E+00      0.0000000000000E+00      4.9343963426840E-04      5.3988531549963E+00      5.9205049843763E-01      0.0000000000000E+00      0.0000000000000E+00      5.9205049843763E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1101250380300E-03     -1.0000000000000E+00      1.0000000000000E+00      6.6519205561586E+00      0.0000000000000E+00      0.0000000000000E+00      1.4798319374600E-03      5.3988527885482E+00      5.9205045825210E-01      0.0000000000000E+00      0.0000000000000E+00      5.9205045825210E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.0826662668720E-03     -1.0000000000000E+00      1.0000000000000E+00      6.6519205561586E+00      0.0000000000000E+00      0.0000000000000E+00      2.4647638251916E-03      5.3988498557520E+00      5.9205013663500E-01      0.0000000000000E+00      0.0000000000000E+00      5.9205013663500E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.0390445448203E-03     -1.0000000000000E+00      1.0000000000000E+00      6.6519205561586E+00      0.0000000000000E+00      0.0000000000000E+00      3.4472632886021E-03      5.3988399612425E+00      5.9204905158062E-01      0.0000000000000E+00      0.0000000000000E+00      5.9204905158062E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      9.9763422834425E-03     -1.0000000000000E+00      1.0000000000000E+00      6.6519205561586E+00      0.0000000000000E+00      0.0000000000000E+00      4.4263607193401E-03      5.3988165414292E+00      5.9204648331071E-01      0.0000000000000E+00      0.0000000000000E+00      5.9204648331071E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.4890673845226E-02     -1.0000000000000E+00      1.0000000000000E+00      6.6519205561586E+00      0.0000000000000E+00      0.0000000000000E+00      5.4010898664490E-03      5.3987708952041E+00      5.9204147764200E-01      0.0000000000000E+00      0.0000000000000E+00      5.9204147764200E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0777189378234E-02     -1.0000000000000E+00      1.0000000000000E+00      6.6519205561586E+00      0.0000000000000E+00      0.0000000000000E+00      6.3704887899413E-03      5.3986922258356E+00      5.9203285058038E-01      0.0000000000000E+00      0.0000000000000E+00      5.9203285058038E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.7630079602323E-02     -1.0000000000000E+00      1.0000000000000E+00      6.6519205561586E+00      0.0000000000000E+00      0.0000000000000E+00      7.3336008101164E-03      5.3985676922125E+00      5.9201919394044E-01      0.0000000000000E+00      0.0000000000000E+00      5.9201919394044E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.5442581542202E-02     -1.0000000000000E+00      1.0000000000000E+00      6.6519205561586E+00      0.0000000000000E+00      0.0000000000000E+00      8.2894754516880E-03      5.3983824687342E+00      5.9199888191314E-01      0.0000000000000E+00      0.0000000000000E+00      5.9199888191314E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.4206985201670E-02     -1.0000000000000E+00      1.0000000000000E+00      6.6519205561586E+00      0.0000000000000E+00      0.0000000000000E+00      9.2371693817895E-03      5.3981198130384E+00      5.9197007849301E-01      0.0000000000000E+00      0.0000000000000E+00      5.9197007849301E-01      0.0000000000000E+00
