WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      3.7010255501824E-04     -2.9999999999863E+00      1.0000000000000E+00      7.5252852057315E+00      0.0000000000000E+00     -2.1211948208021E-06      1.4803189028052E-03      7.2379957680750E+00      7.9373505430732E-01      0.0000000000000E+00      0.0000000000000E+00      7.9373505430732E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.3303751140816E-03     -2.9999999943991E+00      1.0000000000000E+00      7.5237008054944E+00      0.0000000000000E+00     -1.7176026316250E-04      4.4394958123801E-03      7.2377160398001E+00      7.9370437866940E-01      0.0000000000000E+00      0.0000000000000E+00      7.9370437866940E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      9.2479987997070E-03     -2.9999999097029E+00      1.0000000000000E+00      7.5205335686318E+00      0.0000000000000E+00     -1.3244388789714E-03      7.3942914755747E-03      7.2365378248209E+00      7.9357517293891E-01      0.0000000000000E+00      0.0000000000000E+00      7.9357517293891E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.8117133613565E-02     -2.9999993896151E+00      1.0000000000000E+00      7.5157866208243E+00      0.0000000000000E+00     -5.0829444916410E-03      1.0341789865806E-02      7.2342454464606E+00      7.9332378552165E-01      0.0000000000000E+00      0.0000000000000E+00      7.9332378552165E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9929026623791E-02     -2.9999973795092E+00      1.0000000000000E+00      7.5094646467361E+00      0.0000000000000E+00     -1.3871441135451E-02      1.3279082158020E-02      7.2306937292993E+00      7.9293429615135E-01      0.0000000000000E+00      0.0000000000000E+00      7.9293429615135E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.4672019978399E-02     -2.9999915102407E+00      1.0000000000000E+00      7.5015738853924E+00      0.0000000000000E+00     -3.0903495365909E-02      1.6203269599347E-02      7.2257760096282E+00      7.9239500784347E-01      0.0000000000000E+00      0.0000000000000E+00      7.9239500784347E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.2331560277172E-02     -2.9999772899453E+00      1.0000000000000E+00      7.4921221240221E+00      0.0000000000000E+00     -6.0166188149381E-02      1.9111466369824E-02      7.2194119359769E+00      7.9169710907327E-01      0.0000000000000E+00      0.0000000000000E+00      7.9169710907327E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.2890207133663E-02     -2.9999471150853E+00      1.0000000000000E+00      7.4811186903724E+00      0.0000000000000E+00     -1.0640037857270E-01      2.2000802430349E-02      7.2115410329847E+00      7.9083396797536E-01      0.0000000000000E+00      0.0000000000000E+00      7.9083396797536E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0632763698151E-01     -2.9998891146325E+00      1.0000000000000E+00      7.4685744435039E+00      0.0000000000000E+00     -1.7507720121150E-01      2.4868426355064E-02      7.2021187933088E+00      7.8980070377344E-01      0.0000000000000E+00      0.0000000000000E+00      7.8980070377344E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3262063568224E-01     -2.9997858437602E+00      1.0000000000000E+00      7.4545017630738E+00      0.0000000000000E+00     -2.7237089464110E-01      2.7711508145369E-02      7.1911140348154E+00      7.8859389696389E-01      0.0000000000000E+00      0.0000000000000E+00      7.8859389696389E-01      0.0000000000000E+00
