WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999877E+00      1.0000000000000E+00     -2.7903631457275E+00      0.0000000000000E+00     -2.8545998222028E-06      9.8687926853680E-04     -7.9392318231756E+01     -8.7063419270314E+00      0.0000000000000E+00      0.0000000000000E+00     -8.7063419270314E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760499E-03     -1.9999999949751E+00      1.0000000000000E+00     -2.7178584036444E+00      0.0000000000000E+00     -2.3114652736270E-04      2.9596638749201E-03     -6.6060530831991E+00     -7.2443478426413E-01      0.0000000000000E+00      0.0000000000000E+00     -7.2443478426413E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325326464E-03     -1.9999999189884E+00      1.0000000000000E+00     -2.5729204729050E+00      0.0000000000000E+00     -1.7823648027880E-03      4.9295276503831E-03      7.5372355236703E+01      8.2655036551627E+00      0.0000000000000E+00      0.0000000000000E+00      8.2655036551627E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089064412E-02     -1.9999994523827E+00      1.0000000000000E+00     -2.3556923897485E+00      0.0000000000000E+00     -6.8403770836611E-03      6.8945265772042E-03     -1.6227142516142E+01     -1.7795053021602E+00      0.0000000000000E+00      0.0000000000000E+00     -1.7795053021602E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684293373E-02     -1.9999976489814E+00      1.0000000000000E+00     -2.0663885320665E+00      0.0000000000000E+00     -1.8667504281492E-02      8.8527214386802E-03      2.1269647856783E+00      2.3324778899658E-01      0.0000000000000E+00      0.0000000000000E+00      2.3324778899658E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781345810250E-02     -1.9999923832661E+00      1.0000000000000E+00     -1.7052944078386E+00      0.0000000000000E+00     -4.1588406454886E-02      1.0802179732898E-02      1.2464480699994E+01      1.3668832619328E+00      0.0000000000000E+00      0.0000000000000E+00      1.3668832619328E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554369269573E-02     -1.9999796252841E+00      1.0000000000000E+00     -1.2727663733700E+00      0.0000000000000E+00     -8.0968701370847E-02      1.2740977579883E-02     -7.9065481251979E+01     -8.6705002415420E+00      0.0000000000000E+00      0.0000000000000E+00     -8.6705002415420E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260120963454E-02     -1.9999525533972E+00      1.0000000000000E+00     -7.6923128161092E-01      0.0000000000000E+00     -1.4318840437438E-01      1.4667201620233E-02     -1.7765737464223E+01     -1.9482311185054E+00      0.0000000000000E+00      0.0000000000000E+00     -1.9482311185054E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885033117681E-02     -1.9999005173404E+00      1.0000000000000E+00     -1.9518606090441E-01      0.0000000000000E+00     -2.3561029970092E-01      1.6578950903376E-02     -7.2419553094627E+00     -7.9416926660851E-01      0.0000000000000E+00      0.0000000000000E+00     -7.9416926660851E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413584140602E-02     -1.9998078663149E+00      1.0000000000000E+00      4.4880277542201E-01      0.0000000000000E+00     -3.6654337442072E-01      1.8474338763579E-02     -2.1302299638331E+01     -2.3360585584866E+00      0.0000000000000E+00      0.0000000000000E+00     -2.3360585584866E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782825211963E-01     -1.9996526590105E+00      1.0000000000000E+00      1.1620996881366E+00      0.0000000000000E+00     -5.4520146673448E-01      2.0351494681856E-02      8.2275887423173E+01      9.0225606735031E+00      0.0000000000000E+00      0.0000000000000E+00      9.0225606735031E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2910942500718E-01     -1.9994052745960E+00      1.0000000000000E+00      1.9440007393039E+00      0.0000000000000E+00     -7.8165730026442E-01      2.2208566131948E-02     -1.1004477965534E+01     -1.2067760462258E+00      0.0000000000000E+00      0.0000000000000E+00     -1.2067760462258E+00      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5223524523632E-01     -1.9990269459102E+00      1.0000000000000E+00      2.7937342869864E+00      0.0000000000000E+00     -1.0867920952231E+00      2.4043720408540E-02     -2.1580391301690E+01     -2.3665547218710E+00      0.0000000000000E+00      0.0000000000000E+00     -2.3665547218710E+00      0.0000000000000E+00
