WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999912E+00      1.0420948749896E+00      7.2615988696801E+00      0.0000000000000E+00     -2.0352500453020E-06      1.0284218279416E-03      6.8099230416927E+00      7.4679162692633E-01      0.0000000000000E+00      0.0000000000000E+00      7.7822772710507E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760549E-03     -1.9999999964174E+00      1.0420533327061E+00      7.2597453553626E+00      0.0000000000000E+00     -1.6480102627010E-04      3.0841276036315E-03      6.8098110578310E+00      7.4677934652173E-01      0.0000000000000E+00      0.0000000000000E+00      7.7818390683908E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325331861E-03     -1.9999999422410E+00      1.0419702891357E+00      7.2560401559226E+00      0.0000000000000E+00     -1.2707763860379E-03      5.1364213469261E-03      6.8087431394640E+00      7.4666223616824E-01      0.0000000000000E+00      0.0000000000000E+00      7.7799986610693E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089076816E-02     -1.9999996095641E+00      1.0418458262308E+00      7.2504869279446E+00      0.0000000000000E+00     -4.8769980510807E-03      7.1830337266791E-03      6.8064332702596E+00      7.4640893066528E-01      0.0000000000000E+00      0.0000000000000E+00      7.7764302907500E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684427851E-02     -1.9999983237893E+00      1.0416800668190E+00      7.2430911517940E+00      0.0000000000000E+00     -1.3309409830174E-02      9.2217034351745E-03      6.8026916481855E+00      7.4599861589094E-01      0.0000000000000E+00      0.0000000000000E+00      7.7709188804813E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346734690E-02     -1.9999945694811E+00      1.0414731744818E+00      7.2338601262091E+00      0.0000000000000E+00     -2.9651373710450E-02      1.1250180373043E-02      6.7973797681623E+00      7.4541610306367E-01      0.0000000000000E+00      0.0000000000000E+00      7.7633087516758E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554373934002E-02     -1.9999854733946E+00      1.0412253533934E+00      7.2228029610977E+00      0.0000000000000E+00     -5.7728425488029E-02      1.3266228809824E-02      6.7903933658396E+00      7.4464995831798E-01      0.0000000000000E+00      0.0000000000000E+00      7.7534841600401E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260139765527E-02     -1.9999661718868E+00      1.0409368481187E+00      7.2099305685467E+00      0.0000000000000E+00     -1.0208933813593E-01      1.5267630513331E-02      6.7816535857770E+00      7.4369153418720E-01      0.0000000000000E+00      0.0000000000000E+00      7.7413592156941E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885097018490E-02     -1.9999290715903E+00      1.0406079433727E+00      7.1952556520535E+00      0.0000000000000E+00     -1.6798357143214E-01      1.7252187841099E-02      6.7711017845326E+00      7.4253439969830E-01      0.0000000000000E+00      0.0000000000000E+00      7.7268719455350E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413774054489E-02     -1.9998630138212E+00      1.0402389637386E+00      7.1787926939889E+00      0.0000000000000E+00     -2.6133520138185E-01      1.9217726787307E-02      6.7586961592309E+00      7.4117397065302E-01      0.0000000000000E+00      0.0000000000000E+00      7.7099804318213E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782875865007E-01     -1.9997523546973E+00      1.0398302733485E+00      7.1605579413050E+00      0.0000000000000E+00     -3.8871343760588E-01      2.1162099978681E-02      6.7444094047051E+00      7.3960725270474E-01      0.0000000000000E+00      0.0000000000000E+00      7.6906601175049E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911066073357E-01     -1.9995759743734E+00      1.0393822755233E+00      7.1405693895012E+00      0.0000000000000E+00     -5.5729985107228E-01      2.3083189613093E-02      6.7282270133645E+00      7.3783265491812E-01      0.0000000000000E+00      0.0000000000000E+00      7.6689018382417E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5223804268973E-01     -1.9993062301899E+00      1.0388954123750E+00      7.1188467648648E+00      0.0000000000000E+00     -7.7485244826536E-01      2.4978910334703E-02      6.7101460187329E+00      7.3584985198264E-01      0.0000000000000E+00      0.0000000000000E+00      7.6447103542159E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7718730263893E-01     -1.9989078699121E+00      1.0383701643705E+00      7.0954115050038E+00      0.0000000000000E+00     -1.0496667410587E+00      2.6847212039713E-02      6.6901740768458E+00      7.3365968347657E-01      0.0000000000000E+00      0.0000000000000E+00      7.6181032612360E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0393249256866E-01     -1.9983369226961E+00      1.0378070498573E+00      7.0702867376903E+00      0.0000000000000E+00     -1.3905339741354E+00      2.8686082607013E-02      6.6683288305966E+00      7.3126408415964E-01      0.0000000000000E+00      0.0000000000000E+00      7.5891102184835E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3244504953727E-01     -1.9975395870437E+00      1.0372066245521E+00      7.0434972580362E+00      0.0000000000000E+00     -1.8066966837286E+00      3.0493550548240E-02      6.6446375329624E+00      7.2866604265521E-01      0.0000000000000E+00      0.0000000000000E+00      7.5577724652816E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6269341455813E-01     -1.9964511369291E+00      1.0365694809922E+00      7.0150695040236E+00      0.0000000000000E+00     -2.3078017726892E+00      3.2267687571993E-02      6.6191369266480E+00      7.2586958825176E-01      0.0000000000000E+00      0.0000000000000E+00      7.5241426236215E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9464251040924E-01     -1.9949948696648E+00      1.0358962479511E+00      6.9850315304137E+00      0.0000000000000E+00     -2.9038512973846E+00      3.4006611057260E-02      6.5918733962603E+00      7.2287980759060E-01      0.0000000000000E+00      0.0000000000000E+00      7.4882848040269E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.2825304674694E-01     -1.9930811220816E+00      1.0351875898176E+00      6.9534129810598E+00      0.0000000000000E+00     -3.6051511716449E+00      3.5708486431336E-02      6.5629034288824E+00      7.1970289517358E-01      0.0000000000000E+00      0.0000000000000E+00      7.4502750543948E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.6348061881224E-01     -1.9906063854313E+00      1.0344442059407E+00      6.9202450596528E+00      0.0000000000000E+00     -4.4222580018661E+00      3.7371529447855E-02      6.5322944439714E+00      7.1634624437146E-01      0.0000000000000E+00      0.0000000000000E+00      7.4102022193741E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.0027456503483E-01     -1.9874525542733E+00      1.0336668299389E+00      6.8855604989267E+00      0.0000000000000E+00     -5.3659242754149E+00      3.8994008360832E-02      6.5001260889085E+00      7.1281858949696E-01      0.0000000000000E+00      0.0000000000000E+00      7.3681693172682E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.3857654933518E-01     -1.9834863506306E+00      1.0328562289766E+00      6.8493935283555E+00      0.0000000000000E+00     -6.4470421316311E+00      4.0574245990942E-02      6.4664921500936E+00      7.0913021537971E-01      0.0000000000000E+00      0.0000000000000E+00      7.3242956011047E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.7831883632960E-01     -1.9785589720341E+00      1.0320132030071E+00      6.8117798403726E+00      0.0000000000000E+00     -7.6765859509476E+00      4.2110621680584E-02      6.4315033143038E+00      7.0529326018304E-01      0.0000000000000E+00      0.0000000000000E+00      7.2787195650084E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.1942223243857E-01     -1.9725060207471E+00      1.0311385839829E+00      6.7727565551469E+00      0.0000000000000E+00     -9.0655540029397E+00      4.3601573134622E-02      6.3952911550800E+00      7.0132215256028E-01      0.0000000000000E+00      0.0000000000000E+00      7.2316033130683E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.6179367362752E-01     -1.9651477813965E+00      1.0302332350347E+00      6.7323621839495E+00      0.0000000000000E+00     -1.0624909398436E+01      4.5045598144030E-02      6.3580139600934E+00      6.9723425069695E-01      0.0000000000000E+00      0.0000000000000E+00      7.1831389767254E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.0532345176057E-01     -1.9562899251871E+00      1.0292980496202E+00      6.6906365911480E+00      0.0000000000000E+00     -1.2365520594160E+01      4.6441256190019E-02      6.3198654514955E+00      6.9305079860414E-01      0.0000000000000E+00      0.0000000000000E+00      7.1335583529093E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.4988208694607E-01     -1.9457247303895E+00      1.0283339506415E+00      6.6476209548649E+00      0.0000000000000E+00     -1.4298101700729E+01      4.7787169926600E-02      6.2810882862517E+00      6.8879840659578E-01      0.0000000000000E+00      0.0000000000000E+00      7.0831478665020E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.9531687342523E-01     -1.9332329201287E+00      1.0273418895352E+00      6.6033577263398E+00      0.0000000000000E+00     -1.6433152846152E+01      4.9082026539849E-02      6.2419959389405E+00      6.8451145100610E-01      0.0000000000000E+00      0.0000000000000E+00      7.0322728748510E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.4144815207808E-01     -1.9185862286317E+00      1.0263228453331E+00      6.5578905880354E+00      0.0000000000000E+00     -1.8780900847317E+01      5.0324578982566E-02      6.2030104205356E+00      6.8023621051691E-01      0.0000000000000E+00      0.0000000000000E+00      6.9814196307634E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.8806539395063E-01     -1.9015508145940E+00      1.0252778236960E+00      6.5112644105278E+00      0.0000000000000E+00     -2.1351240441277E+01      5.1513647083325E-02      6.1647329963383E+00      6.7603862124668E-01      0.0000000000000E+00      0.0000000000000E+00      6.9312740632627E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.3492321656948E-01     -1.8818916434043E+00      1.0242078559215E+00      6.4635252082250E+00      0.0000000000000E+00     -2.4153676326404E+01      5.2648118529311E-02      6.1280938303389E+00      6.7202068709113E-01      0.0000000000000E+00      0.0000000000000E+00      6.8828886706049E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8173749807079E-01     -1.8593779564176E+00      1.0231139979260E+00      6.4147200939560E+00      0.0000000000000E+00     -2.7197266260844E+01      5.3726949722697E-02      6.0947356423502E+00      6.6836255243573E-01      0.0000000000000E+00      0.0000000000000E+00      6.8381108308655E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      9.2818180266682E-01     -1.8337899327225E+00      1.0219973292030E+00      6.3648972324762E+00      0.0000000000000E+00     -3.0490565461945E+01      5.4749166510654E-02      6.0684758121083E+00      6.6548283981209E-01      0.0000000000000E+00      0.0000000000000E+00      6.8012168491841E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      9.7388598879175E-01     -1.8049290008071E+00      1.0208589517577E+00      6.3298662393743E+00      0.0000000000000E+00     -3.4035523158381E+01      5.5713864789465E-02      6.0652109349564E+00      6.6512480596868E-01      0.0000000000000E+00      0.0000000000000E+00      6.7899861220925E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0185183430769E+00     -1.7727351496524E+00      1.0196999890194E+00      6.3736937514601E+00      0.0000000000000E+00     -3.7555996266931E+01      5.6620210983568E-02      6.0940105959303E+00      6.6828304219866E-01      0.0000000000000E+00      0.0000000000000E+00      6.8144821079182E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0618648535769E+00     -1.7373467811205E+00      1.0185215847329E+00      6.4182564600376E+00      0.0000000000000E+00     -4.0887507863863E+01      5.7467442400658E-02      6.1392508784821E+00      6.7324419432954E-01      0.0000000000000E+00      0.0000000000000E+00      6.8571374372072E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1037920415877E+00     -1.6989855493099E+00      1.0173249018298E+00      6.4635103870937E+00      0.0000000000000E+00     -4.4014766843926E+01      5.8254867464374E-02      6.1906561277096E+00      6.7888141070748E-01      0.0000000000000E+00      0.0000000000000E+00      6.9064296450205E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1442134362388E+00     -1.6578898240524E+00      1.0161111212811E+00      6.5094108724658E+00      0.0000000000000E+00     -4.6923254950912E+01      5.8981865826368E-02      6.2455267783551E+00      6.8489865087528E-01      0.0000000000000E+00      0.0000000000000E+00      6.9593313610477E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1830900204646E+00     -1.6143086688011E+00      1.0148814409313E+00      6.5559126179167E+00      0.0000000000000E+00     -4.9599286222426E+01      5.9647888359918E-02      6.3025385099987E+00      6.9115068684798E-01      0.0000000000000E+00      0.0000000000000E+00      7.0143600496897E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2204294530503E+00     -1.5684964412222E+00      1.0136370743170E+00      6.6029697318377E+00      0.0000000000000E+00     -5.2030063180642E+01      6.0252457037512E-02      6.3608775616431E+00      6.9754827974648E-01      0.0000000000000E+00      0.0000000000000E+00      7.0706079747705E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2562842162987E+00     -1.5207082198128E+00      1.0123792494684E+00      6.6505357745387E+00      0.0000000000000E+00     -5.4203729545172E+01      6.0795164695164E-02      6.4199716786253E+00      7.0402867482477E-01      0.0000000000000E+00      0.0000000000000E+00      7.1274402142331E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2907488574418E+00     -1.4711962028403E+00      1.0111092076983E+00      6.6985638040783E+00      0.0000000000000E+00     -5.6109419257805E+01      6.1275674686472E-02      6.4793760825672E+00      7.1054309667576E-01      0.0000000000000E+00      0.0000000000000E+00      7.1843666751529E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3239564955004E+00     -1.4202071669533E+00      1.0098282023766E+00      6.7470064225897E+00      0.0000000000000E+00     -5.7737301623448E+01      6.1693720429722E-02      6.5387146391650E+00      7.1705029755745E-01      0.0000000000000E+00      0.0000000000000E+00      7.2409761299601E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3560747557146E+00     -1.3679810152575E+00      1.0085374976935E+00      6.7958158230571E+00      0.0000000000000E+00     -5.9078622386892E+01      6.2049104851578E-02      6.5976436914118E+00      7.2351259126197E-01      0.0000000000000E+00      0.0000000000000E+00      7.2968957834112E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3873012736121E+00     -1.3147503909962E+00      1.0072383674123E+00      6.8449438364951E+00      0.0000000000000E+00     -6.0125740581039E+01      6.2341699731133E-02      6.6558246938622E+00      7.2989285212691E-01      0.0000000000000E+00      0.0000000000000E+00      7.3517608476220E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.4178588835202E+00     -1.2607412848700E+00      1.0059320936116E+00      6.8943419794856E+00      0.0000000000000E+00     -6.0872160998894E+01      6.2571444948347E-02      6.7128970640781E+00      7.3615153786317E-01      0.0000000000000E+00      0.0000000000000E+00      7.4051845769811E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.4479905753876E+00     -1.2061745223185E+00      1.0046199654209E+00      6.9439615020255E+00      0.0000000000000E+00     -6.1312562158886E+01      6.2738347641055E-02      6.7684412525728E+00      7.4224263972119E-01      0.0000000000000E+00      0.0000000000000E+00      7.4567177505063E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.4779542726699E+00     -1.1512679819633E+00      1.0033032777479E+00      6.9937534356366E+00      0.0000000000000E+00     -6.1442819650861E+01      6.2842481274945E-02      6.8219096021433E+00      7.4810610036830E-01      0.0000000000000E+00      0.0000000000000E+00      7.5057730260270E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5080174560574E+00     -1.0962393676082E+00      1.0019833300007E+00      7.0436686416920E+00      0.0000000000000E+00     -6.1260024768277E+01      6.2883984631082E-02      6.8724419838331E+00      7.5364759610967E-01      0.0000000000000E+00      0.0000000000000E+00      7.5514232799696E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5384516358576E+00     -1.0413093332651E+00      1.0006614248055E+00      7.0936578599095E+00      0.0000000000000E+00     -6.0762498350764E+01      6.2863060715662E-02      6.9178756304945E+00      7.5862995298797E-01      0.0000000000000E+00      0.0000000000000E+00      7.5913172965710E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5695169515393E+00     -9.8669912766022E-01      9.9933886672133E-01      7.1302519870094E+00      0.0000000000000E+00     -5.9970258874233E+01      6.2779975596851E-02      6.9523964238125E+00      7.6241558158420E-01      0.0000000000000E+00      0.0000000000000E+00      7.6191152327104E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.6013991010959E+00     -9.3259855420269E-01      9.9801696095210E-01      7.1534149090061E+00      0.0000000000000E+00     -5.9006741815033E+01      6.2635057173659E-02      6.9757653212322E+00      7.6497826794889E-01      0.0000000000000E+00      0.0000000000000E+00      7.6346128617275E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.6342071110010E+00     -8.7916432353524E-01      9.9669701205893E-01      7.1765435368490E+00      0.0000000000000E+00     -5.7893804701249E+01      6.2428693881859E-02      6.9932689483248E+00      7.6689775544876E-01      0.0000000000000E+00      0.0000000000000E+00      7.6436470141047E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.6680303133305E+00     -8.2655183381397E-01      9.9538032267258E-01      7.1996150453748E+00      0.0000000000000E+00     -5.6633439218953E+01      6.2161333342105E-02      7.0064220868497E+00      7.6834015849179E-01      0.0000000000000E+00      0.0000000000000E+00      7.6479067488186E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7029460611889E+00     -7.7492031134408E-01      9.9406819220795E-01      7.2226066657899E+00      0.0000000000000E+00     -5.5228224815169E+01      6.1833480955359E-02      7.0153614908075E+00      7.6932047383229E-01      0.0000000000000E+00      0.0000000000000E+00      7.6475701265103E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7390177438124E+00     -7.2443222901651E-01      9.9276191558167E-01      7.2454957081409E+00      0.0000000000000E+00     -5.3681320881191E+01      6.1445698450842E-02      7.0198281746579E+00      7.6981030052772E-01      0.0000000000000E+00      0.0000000000000E+00      7.6423834858640E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7762929309949E+00     -6.7525245809990E-01      9.9146278193420E-01      7.2682595837064E+00      0.0000000000000E+00     -5.1996456638945E+01      6.0998602391694E-02      7.0193315802421E+00      7.6975584285626E-01      0.0000000000000E+00      0.0000000000000E+00      7.6318426936837E-01      0.0000000000000E+00
