WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      9.8687926853680E-04      5.1336819189433E+00      5.6297121845551E-01      0.0000000000000E+00      0.0000000000000E+00      5.6297121845551E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760600E-03     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      2.9596638749201E-03      5.1336817397876E+00      5.6297119880889E-01      0.0000000000000E+00      0.0000000000000E+00      5.6297119880889E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325337441E-03     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      4.9295276503831E-03      5.1336803132432E+00      5.6297104237079E-01      0.0000000000000E+00      0.0000000000000E+00      5.6297104237079E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089089641E-02     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      6.8945265772042E-03      5.1336755053111E+00      5.6297051512203E-01      0.0000000000000E+00      0.0000000000000E+00      5.6297051512203E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684566885E-02     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      8.8527214386802E-03      5.1336641294563E+00      5.6296926761996E-01      0.0000000000000E+00      0.0000000000000E+00      5.6296926761996E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781347690452E-02     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      1.0802179732898E-02      5.1336419614150E+00      5.6296683662220E-01      0.0000000000000E+00      0.0000000000000E+00      5.6296683662220E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554378756469E-02     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      1.2740977579883E-02      5.1336037591788E+00      5.6296264727823E-01      0.0000000000000E+00      0.0000000000000E+00      5.6296264727823E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260159204647E-02     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      1.4667201620233E-02      5.1335432871559E+00      5.6295601577885E-01      0.0000000000000E+00      0.0000000000000E+00      5.6295601577885E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885163084404E-02     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      1.6578950903376E-02      5.1334533440080E+00      5.6294615240898E-01      0.0000000000000E+00      0.0000000000000E+00      5.6294615240898E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413970403340E-02     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      1.8474338763579E-02      5.1333257936057E+00      5.6293216494218E-01      0.0000000000000E+00      0.0000000000000E+00      5.6293216494218E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782928234491E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      2.0351494681856E-02      5.1331515984751E+00      5.6291306230854E-01      0.0000000000000E+00      0.0000000000000E+00      5.6291306230854E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911193834027E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      2.2208566131948E-02      5.1329208550655E+00      5.6288775846220E-01      0.0000000000000E+00      0.0000000000000E+00      5.6288775846220E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5224093497743E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      2.4043720408540E-02      5.1326228301351E+00      5.6285507637148E-01      0.0000000000000E+00      0.0000000000000E+00      5.6285507637148E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7719344672911E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      2.5855146435923E-02      5.1322459975285E+00      5.6281375205201E-01      0.0000000000000E+00      0.0000000000000E+00      5.6281375205201E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0394484847877E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      2.7641056555303E-02      5.1317780746211E+00      5.6276243856327E-01      0.0000000000000E+00      0.0000000000000E+00      5.6276243856327E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3246873982261E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      2.9399688289009E-02      5.1312060577051E+00      5.6269970988914E-01      0.0000000000000E+00      0.0000000000000E+00      5.6269970988914E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6273697112362E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      3.1129306079840E-02      5.1305162556176E+00      5.6262406462560E-01      0.0000000000000E+00      0.0000000000000E+00      5.6262406462560E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9471967129182E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      3.2828203003857E-02      5.1296943209338E+00      5.6253392940146E-01      0.0000000000000E+00      0.0000000000000E+00      5.6253392940146E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.2838527726346E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      3.4494702454906E-02      5.1287252780897E+00      5.6242766196236E-01      0.0000000000000E+00      0.0000000000000E+00      5.6242766196236E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.6370056514995E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      3.6127159799229E-02      5.1275935478391E+00      5.6230355385277E-01      0.0000000000000E+00      0.0000000000000E+00      5.6230355385277E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.0063068302582E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      3.7723963998514E-02      5.1262829675003E+00      5.6215983263634E-01      0.0000000000000E+00      0.0000000000000E+00      5.6215983263634E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.3913918532334E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      3.9283539199802E-02      5.1247768064986E+00      5.6199466360022E-01      0.0000000000000E+00      0.0000000000000E+00      5.6199466360022E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.7918806879994E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      4.0804346290659E-02      5.1230577767606E+00      5.6180615089501E-01      0.0000000000000E+00      0.0000000000000E+00      5.6180615089501E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.2073781004278E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      4.2284884418096E-02      5.1211080375729E+00      5.6159233806759E-01      0.0000000000000E+00      0.0000000000000E+00      5.6159233806759E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.6374740447362E-01     -8.0000000000000E+00      1.0000000000000E+00      5.8916590558089E+00      0.0000000000000E+00      0.0000000000000E+00      4.3723692469728E-02      5.1189091945651E+00      5.6135120794951E-01      0.0000000000000E+00      0.0000000000000E+00      5.6135120794951E-01      0.0000000000000E+00
