WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -7.9999999999999E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -1.3886789700014E-08      9.8687926853680E-04      5.1279206238424E+00      5.6233942175013E-01      0.0000000000000E+00      0.0000000000000E+00      5.6233942175013E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760600E-03     -7.9999999999756E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -1.1244599613000E-06      2.9596638749201E-03      5.1279192268243E+00      5.6233926854996E-01      0.0000000000000E+00      0.0000000000000E+00      5.6233926854996E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325337440E-03     -7.9999999996059E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -8.6706812344003E-06      4.9295276503831E-03      5.1279127419854E+00      5.6233855740779E-01      0.0000000000000E+00      0.0000000000000E+00      5.6233855740779E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089089640E-02     -7.9999999973360E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -3.3276425299001E-05      6.8945265772042E-03      5.1278983152127E+00      5.6233697533513E-01      0.0000000000000E+00      0.0000000000000E+00      5.6233697533513E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684566878E-02     -7.9999999885630E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -9.0811925153301E-05      8.8527214386802E-03      5.1278723960232E+00      5.6233413297795E-01      0.0000000000000E+00      0.0000000000000E+00      5.6233413297795E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781347690408E-02     -7.9999999629468E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -2.0231538170700E-04      1.0802179732898E-02      5.1278305850178E+00      5.6232954788813E-01      0.0000000000000E+00      0.0000000000000E+00      5.6232954788813E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554378756244E-02     -7.9999999008830E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -3.9388894936230E-04      1.2740977579883E-02      5.1277675839702E+00      5.6232263905017E-01      0.0000000000000E+00      0.0000000000000E+00      5.6232263905017E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260159203742E-02     -7.9999997691861E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -6.9656952878080E-04      1.4667201620233E-02      5.1276771806819E+00      5.6231272522027E-01      0.0000000000000E+00      0.0000000000000E+00      5.6231272522027E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885163081328E-02     -7.9999995160454E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -1.1461749026092E-03      1.6578950903376E-02      5.1275522520279E+00      5.6229902526034E-01      0.0000000000000E+00      0.0000000000000E+00      5.6229902526034E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413970394199E-02     -7.9999990653230E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -1.7831258523588E-03      1.8474338763579E-02      5.1273847779944E+00      5.6228065967747E-01      0.0000000000000E+00      0.0000000000000E+00      5.6228065967747E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782928232053E-01     -7.9999983102761E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -2.6522449945101E-03      2.0351494681856E-02      5.1271658630507E+00      5.6225665296756E-01      0.0000000000000E+00      0.0000000000000E+00      5.6225665296756E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911193828079E-01     -7.9999971067939E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -3.8025331708402E-03      2.2208566131948E-02      5.1268857625811E+00      5.6222593651391E-01      0.0000000000000E+00      0.0000000000000E+00      5.6222593651391E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5224093484277E-01     -7.9999952662474E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -5.2869243215599E-03      2.4043720408540E-02      5.1265339127845E+00      5.6218735186613E-01      0.0000000000000E+00      0.0000000000000E+00      5.6218735186613E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7719344644307E-01     -7.9999925480574E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -7.1620198597285E-03      2.5855146435923E-02      5.1260989627615E+00      5.6213965425879E-01      0.0000000000000E+00      0.0000000000000E+00      5.6213965425879E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0394484790352E-01     -7.9999886520934E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -9.4878036512241E-03      2.7641056555303E-02      5.1255688077070E+00      5.6208151625146E-01      0.0000000000000E+00      0.0000000000000E+00      5.6208151625146E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3246873871965E-01     -7.9999832110186E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -1.2327338785946E-02      2.9399688289009E-02      5.1249306222702E+00      5.6201153138706E-01      0.0000000000000E+00      0.0000000000000E+00      5.6201153138706E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6273696909567E-01     -7.9999757827020E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -1.5746447402578E-02      3.1129306079840E-02      5.1241708932463E+00      5.6192821777686E-01      0.0000000000000E+00      0.0000000000000E+00      5.6192821777686E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9471966769913E-01     -7.9999658428203E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -1.9813374900866E-02      3.2828203003857E-02      5.1232754508630E+00      5.6183002153145E-01      0.0000000000000E+00      0.0000000000000E+00      5.6183002153145E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.2838527110626E-01     -7.9999527777714E+00      1.0000000000000E+00      5.8870991678477E+00      0.0000000000000E+00     -2.4598439941616E-02      3.4494702454906E-02      5.1222294980522E+00      5.6171531997073E-01      0.0000000000000E+00      0.0000000000000E+00      5.6171531997073E-01      0.0000000000000E+00
