WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999913E+00      1.0000000000000E+00      7.5201494808932E+00      0.0000000000000E+00     -2.0134300245020E-06      9.8687926853680E-04      7.0759125396628E+00      7.7596063936866E-01      0.0000000000000E+00      0.0000000000000E+00      7.7596063936866E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760550E-03     -1.9999999964558E+00      1.0000000000000E+00      7.5180388884610E+00      0.0000000000000E+00     -1.6303418596400E-04      2.9596638749201E-03      7.0755201186370E+00      7.7591760558773E-01      0.0000000000000E+00      0.0000000000000E+00      7.7591760558773E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325331980E-03     -1.9999999428602E+00      1.0000000000000E+00      7.5138197864967E+00      0.0000000000000E+00     -1.2571523268329E-03      4.9295276503831E-03      7.0738723553087E+00      7.7573690811888E-01      0.0000000000000E+00      0.0000000000000E+00      7.7573690811888E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089077090E-02     -1.9999996137500E+00      1.0000000000000E+00      7.5074963387445E+00      0.0000000000000E+00     -4.8247115033286E-03      6.8945265772042E-03      7.0706784781195E+00      7.7538666029262E-01      0.0000000000000E+00      0.0000000000000E+00      7.7538666029262E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684430816E-02     -1.9999983417601E+00      1.0000000000000E+00      7.4990747856838E+00      0.0000000000000E+00     -1.3166718960638E-02      8.8527214386802E-03      7.0657471299206E+00      7.7484587744943E-01      0.0000000000000E+00      0.0000000000000E+00      7.7484587744943E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346755074E-02     -1.9999946277019E+00      1.0000000000000E+00      7.4885634383708E+00      0.0000000000000E+00     -2.9333479802930E-02      1.0802179732898E-02      7.0589402739815E+00      7.7409942216795E-01      0.0000000000000E+00      0.0000000000000E+00      7.7409942216795E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554374036851E-02     -1.9999856291351E+00      1.0000000000000E+00      7.4759726702362E+00      0.0000000000000E+00     -5.7109516059665E-02      1.2740977579883E-02      7.0501556255407E+00      7.7313607766890E-01      0.0000000000000E+00      0.0000000000000E+00      7.7313607766890E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260140180109E-02     -1.9999665345596E+00      1.0000000000000E+00      7.4613149068481E+00      0.0000000000000E+00     -1.0099483307411E-01      1.4667201620233E-02      7.0393175100440E+00      7.7194754530885E-01      0.0000000000000E+00      0.0000000000000E+00      7.7194754530885E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885098427488E-02     -1.9999298320164E+00      1.0000000000000E+00      7.4446046136493E+00      0.0000000000000E+00     -1.6618261089509E-01      1.6578950903376E-02      7.0263714508009E+00      7.7052785105015E-01      0.0000000000000E+00      0.0000000000000E+00      7.7052785105015E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413778242049E-02     -1.9998644824523E+00      1.0000000000000E+00      7.4258582816817E+00      0.0000000000000E+00     -2.5853341320330E-01      1.8474338763579E-02      7.0112806342214E+00      7.6887295783094E-01      0.0000000000000E+00      0.0000000000000E+00      7.6887295783094E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782876981896E-01     -1.9997550096965E+00      1.0000000000000E+00      7.4050944113117E+00      0.0000000000000E+00     -3.8454602078422E-01      2.0351494681856E-02      6.9940234369757E+00      7.6698049438775E-01      0.0000000000000E+00      0.0000000000000E+00      7.6698049438775E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911068798117E-01     -1.9995805203085E+00      1.0000000000000E+00      7.3823334939725E+00      0.0000000000000E+00     -5.5132501061303E-01      2.2208566131948E-02      6.9745916199935E+00      7.6484955720543E-01      0.0000000000000E+00      0.0000000000000E+00      7.6484955720543E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5223810437345E-01     -1.9993136679271E+00      1.0000000000000E+00      7.3575979919416E+00      0.0000000000000E+00     -7.6654521518619E-01      2.4043720408540E-02      6.9529889850410E+00      7.6248056319430E-01      0.0000000000000E+00      0.0000000000000E+00      7.6248056319430E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7718743367278E-01     -1.9989195781091E+00      1.0000000000000E+00      7.3309123161730E+00      0.0000000000000E+00     -1.0384132097664E+00      2.5855146435923E-02      6.9292303847914E+00      7.5987514113221E-01      0.0000000000000E+00      0.0000000000000E+00      7.5987514113221E-01      0.0000000000000E+00
