WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.1636363636284E+00      1.0000000000000E+00      6.8693144515982E+00      0.0000000000000E+00     -1.8453758597018E-06      9.8687926853680E-04      4.3520006739833E+00      4.7725027783877E-01      0.0000000000000E+00      0.0000000000000E+00      4.7725027783877E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760558E-03     -1.1636363603880E+00      1.0000000000000E+00      6.8676871926470E+00      0.0000000000000E+00     -1.4942627626080E-04      2.9596638749201E-03      4.3515776055014E+00      4.7720388318821E-01      0.0000000000000E+00      0.0000000000000E+00      4.7720388318821E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325332854E-03     -1.1636363112658E+00      1.0000000000000E+00      6.8644342806528E+00      0.0000000000000E+00     -1.1522220924431E-03      4.9295276503831E-03      4.3504862157271E+00      4.7708419890687E-01      0.0000000000000E+00      0.0000000000000E+00      4.7708419890687E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089079097E-02     -1.1636360096253E+00      1.0000000000000E+00      6.8595589258470E+00      0.0000000000000E+00     -4.4220092228639E-03      6.8945265772042E-03      4.3485828799274E+00      4.7687547478037E-01      0.0000000000000E+00      0.0000000000000E+00      4.7687547478037E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684452582E-02     -1.1636348438041E+00      1.0000000000000E+00      6.8530659396161E+00      0.0000000000000E+00     -1.2067737654081E-02      8.8527214386802E-03      4.3457335415346E+00      4.7656300986101E-01      0.0000000000000E+00      0.0000000000000E+00      4.7656300986101E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346904703E-02     -1.1636314397457E+00      1.0000000000000E+00      6.8449617297536E+00      0.0000000000000E+00     -2.6885113884583E-02      1.0802179732898E-02      4.3418070264986E+00      4.7613241930457E-01      0.0000000000000E+00      0.0000000000000E+00      4.7613241930457E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554374791832E-02     -1.1636231922585E+00      1.0000000000000E+00      6.8352542941363E+00      0.0000000000000E+00     -5.2342778745402E-02      1.2740977579883E-02      4.3366768364343E+00      4.7556983101082E-01      0.0000000000000E+00      0.0000000000000E+00      4.7556983101082E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260143223398E-02     -1.1636056914413E+00      1.0000000000000E+00      6.8239532128311E+00      0.0000000000000E+00     -9.2565137419553E-02      1.4667201620233E-02      4.3302241824937E+00      4.7486221832493E-01      0.0000000000000E+00      0.0000000000000E+00      4.7486221832493E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885108770427E-02     -1.1635720523289E+00      1.0000000000000E+00      6.8110696386409E+00      0.0000000000000E+00     -1.5231191285752E-01      1.6578950903376E-02      4.3223412713324E+00      4.7399776038392E-01      0.0000000000000E+00      0.0000000000000E+00      4.7399776038392E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413808981396E-02     -1.1635121572456E+00      1.0000000000000E+00      6.7966162860979E+00      0.0000000000000E+00     -2.3695450739691E-01      1.8474338763579E-02      4.3129344738806E+00      4.7296618961135E-01      0.0000000000000E+00      0.0000000000000E+00      4.7296618961135E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782885180580E-01     -1.1634118217141E+00      1.0000000000000E+00      6.7806074189162E+00      0.0000000000000E+00     -3.5244927066629E-01      2.0351494681856E-02      4.3019272307883E+00      4.7175911033505E-01      0.0000000000000E+00      0.0000000000000E+00      4.7175911033505E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911088799597E-01     -1.1632518960491E+00      1.0000000000000E+00      6.7630588359148E+00      0.0000000000000E+00     -5.0530778473373E-01      2.2208566131948E-02      4.2892626420682E+00      4.7037028277316E-01      0.0000000000000E+00      0.0000000000000E+00      4.7037028277316E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5223855717189E-01     -1.1630073159926E+00      1.0000000000000E+00      6.7439878554265E+00      0.0000000000000E+00     -7.0256428989731E-01      2.4043720408540E-02      4.2749057340208E+00      4.6879587163038E-01      0.0000000000000E+00      0.0000000000000E+00      4.6879587163038E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7718839554722E-01     -1.1626461169485E+00      1.0000000000000E+00      6.7234132982066E+00      0.0000000000000E+00     -9.5174038645893E-01      2.5855146435923E-02      4.2588454216237E+00      4.6703466129796E-01      0.0000000000000E+00      0.0000000000000E+00      4.6703466129796E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0393469041051E-01     -1.1621284276008E+00      1.0000000000000E+00      6.7013554688591E+00      0.0000000000000E+00     -1.2608071592257E+00      2.7641056555303E-02      4.2410961998749E+00      4.6508824133032E-01      0.0000000000000E+00      0.0000000000000E+00      4.6508824133032E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3244926344425E-01     -1.1614054600279E+00      1.0000000000000E+00      6.6778361357984E+00      0.0000000000000E+00     -1.6381448823001E+00      2.9399688289009E-02      4.2216996079774E+00      4.6296116701079E-01      0.0000000000000E+00      0.0000000000000E+00      4.6296116701079E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6270116198396E-01     -1.1604185149450E+00      1.0000000000000E+00      6.6528785097668E+00      0.0000000000000E+00     -2.0925004719064E+00      3.1129306079840E-02      4.2007255181967E+00      4.6066110069070E-01      0.0000000000000E+00      0.0000000000000E+00      4.6066110069070E-01      0.0000000000000E+00
