WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -6.5454545454548E+00      1.0000000000000E+00      6.9205460083049E+00      0.0000000000000E+00      4.7587104100047E-08      9.8687926853680E-04      5.8083262801103E+00      6.3695425130155E-01      0.0000000000000E+00      0.0000000000000E+00      6.3695425130155E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760600E-03     -6.5454545455383E+00      1.0000000000000E+00      6.9202397843925E+00      0.0000000000000E+00      3.8532875198999E-06      2.9596638749201E-03      5.8083289217760E+00      6.3695454099261E-01      0.0000000000000E+00      0.0000000000000E+00      6.3695454099261E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325337438E-03     -6.5454545468050E+00      1.0000000000000E+00      6.9196276387738E+00      0.0000000000000E+00      2.9712598881901E-05      4.9295276503831E-03      5.8083359591510E+00      6.3695531272714E-01      0.0000000000000E+00      0.0000000000000E+00      6.3695531272714E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089089634E-02     -6.5454545545835E+00      1.0000000000000E+00      6.9187101755625E+00      0.0000000000000E+00      1.1403130277820E-04      6.8945265772042E-03      5.8083346367276E+00      6.3695516770718E-01      0.0000000000000E+00      0.0000000000000E+00      6.3695516770718E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684566809E-02     -6.5454545846468E+00      1.0000000000000E+00      6.9174883001840E+00      0.0000000000000E+00      3.1119334603950E-04      8.8527214386802E-03      5.8083061620173E+00      6.3695204510578E-01      0.0000000000000E+00      0.0000000000000E+00      6.3695204510578E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781347689930E-02     -6.5454546724280E+00      1.0000000000000E+00      6.9159632184820E+00      0.0000000000000E+00      6.9329221335599E-04      1.0802179732898E-02      5.8082274353362E+00      6.3694341175913E-01      0.0000000000000E+00      0.0000000000000E+00      6.3694341175913E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554378753832E-02     -6.5454548851077E+00      1.0000000000000E+00      6.9141364355278E+00      0.0000000000000E+00      1.3497744917649E-03      1.2740977579883E-02      5.8080720785947E+00      6.3692637498603E-01      0.0000000000000E+00      0.0000000000000E+00      6.3692637498603E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260159194020E-02     -6.5454553364052E+00      1.0000000000000E+00      6.9120097541357E+00      0.0000000000000E+00      2.3869971046694E-03      1.4667201620233E-02      5.8078111591033E+00      6.3689776196202E-01      0.0000000000000E+00      0.0000000000000E+00      6.3689776196202E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885163048286E-02     -6.5454562038650E+00      1.0000000000000E+00      6.9095852730835E+00      0.0000000000000E+00      3.9277000513670E-03      1.6578950903376E-02      5.8074137313343E+00      6.3685417913027E-01      0.0000000000000E+00      0.0000000000000E+00      6.3685417913027E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413970295997E-02     -6.5454577483958E+00      1.0000000000000E+00      6.9068653850412E+00      0.0000000000000E+00      6.1103968390515E-03      1.8474338763579E-02      5.8068472542619E+00      6.3679205796796E-01      0.0000000000000E+00      0.0000000000000E+00      6.3679205796796E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782928205861E-01     -6.5454603357826E+00      1.0000000000000E+00      6.9038527742101E+00      0.0000000000000E+00      9.0886851365013E-03      2.0351494681856E-02      5.8060779152147E+00      6.3670769050079E-01      0.0000000000000E+00      0.0000000000000E+00      6.3670769050079E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911193764180E-01     -6.5454644598625E+00      1.0000000000000E+00      6.9005504136732E+00      0.0000000000000E+00      1.3030480510814E-02      2.2208566131948E-02      5.8050708783065E+00      6.3659725654633E-01      0.0000000000000E+00      0.0000000000000E+00      6.3659725654633E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5224093339622E-01     -6.5454707670278E+00      1.0000000000000E+00      6.8969615624617E+00      0.0000000000000E+00      1.8117176429263E-02      2.4043720408540E-02      5.8037904686547E+00      6.3645684391594E-01      0.0000000000000E+00      0.0000000000000E+00      6.3645684391594E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7719344337013E-01     -6.5454800816923E+00      1.0000000000000E+00      6.8930897623385E+00      0.0000000000000E+00      2.4542734016344E-02      2.5855146435923E-02      5.8022002993397E+00      6.3628246233739E-01      0.0000000000000E+00      0.0000000000000E+00      6.3628246233739E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0394484172369E-01     -6.5454934323401E+00      1.0000000000000E+00      6.8889388343028E+00      0.0000000000000E+00      3.2512705350153E-02      2.7641056555303E-02      5.8002633451697E+00      6.3607005154404E-01      0.0000000000000E+00      0.0000000000000E+00      6.3607005154404E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3246872687068E-01     -6.5455120777567E+00      1.0000000000000E+00      6.8845128748194E+00      0.0000000000000E+00      4.2243194361137E-02      2.9399688289009E-02      5.7979419650571E+00      6.3581548372875E-01      0.0000000000000E+00      0.0000000000000E+00      6.3581548372875E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6273694730969E-01     -6.5455375330305E+00      1.0000000000000E+00      6.8798162517762E+00      0.0000000000000E+00      5.3959759658986E-02      3.1129306079840E-02      5.7951978728207E+00      6.3551456034194E-01      0.0000000000000E+00      0.0000000000000E+00      6.3551456034194E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9471962910328E-01     -6.5455715949062E+00      1.0000000000000E+00      6.8748536001728E+00      0.0000000000000E+00      6.7896263858798E-02      3.2828203003857E-02      5.7919920541970E+00      6.3516300299086E-01      0.0000000000000E+00      0.0000000000000E+00      6.3516300299086E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.2838520496020E-01     -6.5456163660652E+00      1.0000000000000E+00      6.8696298175474E+00      0.0000000000000E+00      8.4293674204779E-02      3.4494702454906E-02      5.7882846255608E+00      6.3475643794659E-01      0.0000000000000E+00      0.0000000000000E+00      6.3475643794659E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.6370044487247E-01     -6.5456742779132E+00      1.0000000000000E+00      6.8641500591426E+00      0.0000000000000E+00      1.0339881949768E-01      3.6127159799229E-02      5.7840346269953E+00      6.3429037345162E-01      0.0000000000000E+00      0.0000000000000E+00      6.3429037345162E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.0063048825690E-01     -6.5457481114563E+00      1.0000000000000E+00      6.8584197328185E+00      0.0000000000000E+00      1.2546310852007E-01      3.7723963998514E-02      5.7791997385311E+00      6.3376016860201E-01      0.0000000000000E+00      0.0000000000000E+00      6.3376016860201E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.3913887754828E-01     -6.5458410158616E+00      1.0000000000000E+00      6.8524444937154E+00      0.0000000000000E+00      1.5074121532059E-01      3.9283539199802E-02      5.7737359030382E+00      6.3316099199281E-01      0.0000000000000E+00      0.0000000000000E+00      6.3316099199281E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.7918759319036E-01     -6.5459565243090E+00      1.0000000000000E+00      6.8462302386727E+00      0.0000000000000E+00      1.7948973686419E-01      4.0804346290659E-02      5.7675968313515E+00      6.3248776744907E-01      0.0000000000000E+00      0.0000000000000E+00      6.3248776744907E-01      0.0000000000000E+00
