WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -8.0000000000003E+00      1.0000000000000E+00      6.9357429892239E+00      0.0000000000000E+00      6.7939158500068E-08      9.8687926853680E-04      5.8094940442946E+00      6.3708231097414E-01      0.0000000000000E+00      0.0000000000000E+00      6.3708231097414E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760600E-03     -8.0000000001196E+00      1.0000000000000E+00      6.9354438121785E+00      0.0000000000000E+00      5.5012616606999E-06      2.9596638749201E-03      5.8094990078253E+00      6.3708285528618E-01      0.0000000000000E+00      0.0000000000000E+00      6.3708285528618E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325337435E-03     -8.0000000019281E+00      1.0000000000000E+00      6.9348457533391E+00      0.0000000000000E+00      4.2420084207501E-05      4.9295276503831E-03      5.8095157597837E+00      6.3708469234399E-01      0.0000000000000E+00      0.0000000000000E+00      6.3708469234399E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089089626E-02     -8.0000000130332E+00      1.0000000000000E+00      6.9339494029178E+00      0.0000000000000E+00      1.6280021432551E-04      6.8945265772042E-03      5.8095331347048E+00      6.3708659771730E-01      0.0000000000000E+00      0.0000000000000E+00      6.3708659771730E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684566730E-02     -8.0000000559540E+00      1.0000000000000E+00      6.9327556455042E+00      0.0000000000000E+00      4.4428452712171E-04      8.8527214386802E-03      5.8095333073444E+00      6.3708661664935E-01      0.0000000000000E+00      0.0000000000000E+00      6.3708661664935E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781347689387E-02     -8.0000001812774E+00      1.0000000000000E+00      6.9312656591926E+00      0.0000000000000E+00      9.8979945133179E-04      1.0802179732898E-02      5.8094938110139E+00      6.3708228539205E-01      0.0000000000000E+00      0.0000000000000E+00      6.3708228539205E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554378751095E-02     -8.0000004849161E+00      1.0000000000000E+00      6.9294809144198E+00      0.0000000000000E+00      1.9270460934552E-03      1.2740977579883E-02      5.8093886801891E+00      6.3707075650703E-01      0.0000000000000E+00      0.0000000000000E+00      6.3707075650703E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260159182986E-02     -8.0000011292245E+00      1.0000000000000E+00      6.9274031725133E+00      0.0000000000000E+00      3.4078681096036E-03      1.4667201620233E-02      5.8091892349790E+00      6.3704888489233E-01      0.0000000000000E+00      0.0000000000000E+00      6.3704888489233E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885163010786E-02     -8.0000023676795E+00      1.0000000000000E+00      6.9250344839535E+00      0.0000000000000E+00      5.6074989462527E-03      1.6578950903376E-02      5.8088646592253E+00      6.3701329117803E-01      0.0000000000000E+00      0.0000000000000E+00      6.3701329117803E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413970184547E-02     -8.0000045727753E+00      1.0000000000000E+00      6.9223771863501E+00      0.0000000000000E+00      8.7236915721814E-03      1.8474338763579E-02      5.8083824415507E+00      6.3696041009266E-01      0.0000000000000E+00      0.0000000000000E+00      6.3696041009266E-01      0.0000000000000E+00
