WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -7.4181818181821E+00      1.0000000000000E+00      6.9280765432344E+00      0.0000000000000E+00      6.1488756200061E-08      9.8687926853680E-04      5.8082919170503E+00      6.3695048297035E-01      0.0000000000000E+00      0.0000000000000E+00      6.3695048297035E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760600E-03     -7.4181818182901E+00      1.0000000000000E+00      6.9277829794719E+00      0.0000000000000E+00      4.9789509380999E-06      2.9596638749201E-03      5.8082962034892E+00      6.3695095303097E-01      0.0000000000000E+00      0.0000000000000E+00      6.3695095303097E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325337436E-03     -7.4181818199268E+00      1.0000000000000E+00      6.9271961416589E+00      0.0000000000000E+00      3.8392559941001E-05      4.9295276503831E-03      5.8083101741923E+00      6.3695248509000E-01      0.0000000000000E+00      0.0000000000000E+00      6.3695248509000E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089089629E-02     -7.4181818299776E+00      1.0000000000000E+00      6.9263166089334E+00      0.0000000000000E+00      1.4734334227931E-04      6.8945265772042E-03      5.8083224382575E+00      6.3695382999525E-01      0.0000000000000E+00      0.0000000000000E+00      6.3695382999525E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684566758E-02     -7.4181818688233E+00      1.0000000000000E+00      6.9251452492880E+00      0.0000000000000E+00      4.0210246295021E-04      8.8527214386802E-03      5.8083151930867E+00      6.3695303547336E-01      0.0000000000000E+00      0.0000000000000E+00      6.3695303547336E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781347689580E-02     -7.4181819822481E+00      1.0000000000000E+00      6.9236832187134E+00      0.0000000000000E+00      8.9582412375629E-04      1.0802179732898E-02      5.8082661270572E+00      6.3694765478113E-01      0.0000000000000E+00      0.0000000000000E+00      6.3694765478113E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554378752067E-02     -7.4181822570581E+00      1.0000000000000E+00      6.9219319600571E+00      0.0000000000000E+00      1.7440850020522E-03      1.2740977579883E-02      5.8081495085733E+00      6.3693486613334E-01      0.0000000000000E+00      0.0000000000000E+00      6.3693486613334E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260159186904E-02     -7.4181828401934E+00      1.0000000000000E+00      6.9198932016001E+00      0.0000000000000E+00      3.0843121392467E-03      1.4667201620233E-02      5.8079369383458E+00      6.3691155519941E-01      0.0000000000000E+00      0.0000000000000E+00      6.3691155519941E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885163024102E-02     -7.4181839610648E+00      1.0000000000000E+00      6.9175689553507E+00      0.0000000000000E+00      5.0751016513817E-03      1.6578950903376E-02      5.8075979061552E+00      6.3687437615941E-01      0.0000000000000E+00      0.0000000000000E+00      6.3687437615941E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413970224120E-02     -7.4181859568005E+00      1.0000000000000E+00      6.9149615150595E+00      0.0000000000000E+00      7.8954310876347E-03      1.8474338763579E-02      5.8071002169258E+00      6.3681979842820E-01      0.0000000000000E+00      0.0000000000000E+00      6.3681979842820E-01      0.0000000000000E+00
