WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999764E+00      1.0000000000000E+00      7.0172637601759E+00      0.0000000000000E+00     -5.4727526479054E-06      9.8687926853680E-04      6.6233413678031E+00      7.2633065681763E-01      0.0000000000000E+00      0.0000000000000E+00      7.2633065681763E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760231E-03     -1.9999999903664E+00      1.0000000000000E+00      7.0129936553095E+00      0.0000000000000E+00     -4.4314714793229E-04      2.9596638749201E-03      6.6223667152869E+00      7.2622377420914E-01      0.0000000000000E+00      0.0000000000000E+00      7.2622377420914E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325297096E-03     -1.9999998446869E+00      1.0000000000000E+00      7.0044576596547E+00      0.0000000000000E+00     -3.4170960210490E-03      4.9295276503831E-03      6.6182868430228E+00      7.2577636615077E-01      0.0000000000000E+00      0.0000000000000E+00      7.2577636615077E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078088996911E-02     -1.9999989501246E+00      1.0000000000000E+00      6.9916641972087E+00      0.0000000000000E+00     -1.3114164551775E-02      6.8945265772042E-03      6.6104267726792E+00      7.2491441298570E-01      0.0000000000000E+00      0.0000000000000E+00      7.2491441298570E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952683561580E-02     -1.9999954926983E+00      1.0000000000000E+00      6.9746258935743E+00      0.0000000000000E+00     -3.5788775958448E-02      8.8527214386802E-03      6.5983765333701E+00      7.2359295637549E-01      0.0000000000000E+00      0.0000000000000E+00      7.2359295637549E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781340779694E-02     -1.9999853974295E+00      1.0000000000000E+00      6.9533595635001E+00      0.0000000000000E+00     -7.9732038018518E-02      1.0802179732898E-02      6.5818725070890E+00      7.2178308737083E-01      0.0000000000000E+00      0.0000000000000E+00      7.2178308737083E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554343887013E-02     -1.9999609382280E+00      1.0000000000000E+00      6.9278861942865E+00      0.0000000000000E+00     -1.5523075121942E-01      1.2740977579883E-02      6.5607512666589E+00      7.1946688417633E-01      0.0000000000000E+00      0.0000000000000E+00      7.1946688417633E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260018647741E-02     -1.9999090369338E+00      1.0000000000000E+00      6.8982309250733E+00      0.0000000000000E+00     -2.7451648847794E-01      1.4667201620233E-02      6.5349252981397E+00      7.1663474981455E-01      0.0000000000000E+00      0.0000000000000E+00      7.1663474981455E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0884685387698E-02     -1.9998092755556E+00      1.0000000000000E+00      6.8644230220310E+00      0.0000000000000E+00     -4.5170495757481E-01      1.6578950903376E-02      6.5043688058668E+00      7.1328385547435E-01      0.0000000000000E+00      0.0000000000000E+00      7.1328385547435E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8412550687516E-02     -1.9996316503267E+00      1.0000000000000E+00      6.8264958494782E+00      0.0000000000000E+00     -7.0272589781605E-01      1.8474338763579E-02      6.4691090212312E+00      7.0941718741189E-01      0.0000000000000E+00      0.0000000000000E+00      7.0941718741189E-01      0.0000000000000E+00
