WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      9.8695962835738E-06     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      3.9478287725769E-05      5.4602932257550E+00      5.9878815613500E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878815613500E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8825782100344E-05     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.1843330464201E-04      5.4602932253900E+00      5.9878815609497E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878815609497E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.4673503667882E-04     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.9738364601429E-04      5.4602932224707E+00      5.9878815577484E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878815577484E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.8359112603191E-04     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      2.7632619501805E-04      5.4602932126190E+00      5.9878815469447E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878815469447E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.9938469948693E-04     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      3.5525783513668E-04      5.4602931892596E+00      5.9878815213283E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878815213283E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1941032900542E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      4.3417545028479E-04      5.4602931436254E+00      5.9878814712848E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878814712848E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.6677313149198E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      5.1307592492900E-04      5.4602930647906E+00      5.9878813848327E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878813848327E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760600E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      5.9195614421448E-04      5.4602929395992E+00      5.9878812475450E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878812475450E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.8516377609804E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      6.7081299408489E-04      5.4602927527532E+00      5.9878810426455E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878810426455E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.5618694435764E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      7.4964336140693E-04      5.4602924867639E+00      5.9878807509555E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878807509555E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.3509170851170E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      8.2844413409267E-04      5.4602921219496E+00      5.9878803508919E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878803508919E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.2187495353526E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      9.0721220122258E-04      5.4602916364814E+00      5.9878798185165E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878798185165E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325337441E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      9.8594445316813E-04      5.4602910063513E+00      5.9878791275015E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878791275015E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.1906287108152E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.0646377817147E-03      5.4602902053895E+00      5.9878782491486E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878782491486E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.2945975896287E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.1432890801850E-03      5.4602892052700E+00      5.9878771523948E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878771523948E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      9.4771955873834E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.2218952435596E-03      5.4602879755133E+00      5.9878758038157E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878758038157E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0738376017135E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.3004531686025E-03      5.4602864834964E+00      5.9878741676361E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878741676361E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089089641E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.3789597539811E-03      5.4602846944528E+00      5.9878722057302E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878722057302E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3496281915321E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.4574119003894E-03      5.4602825714873E+00      5.9878698776381E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878698776381E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.4992898506353E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.5358065106716E-03      5.4602800755743E+00      5.9878671405631E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878671405631E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.6567879778874E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.6141404899426E-03      5.4602771655727E+00      5.9878639493893E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878639493893E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.8221163555323E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00      0.0000000000000E+00      1.6924107457108E-03      5.4602737982304E+00      5.9878602566853E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878602566853E-01      0.0000000000000E+00
