WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -1.2443370694807E-30      9.8687926853680E-04      5.4602731844199E+00      5.9878595835668E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878595835668E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760600E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -9.9999999999999E-17      2.9596638749201E-03      5.4602729562766E+00      5.9878593333797E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878593333797E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325337441E-03     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -1.0000000000000E-15      4.9295276503831E-03      5.4602711326417E+00      5.9878573335401E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878573335401E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089089641E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -3.6000000000002E-15      6.8945265772042E-03      5.4602649818961E+00      5.9878505884929E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878505884929E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684566885E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -1.0000000000000E-14      8.8527214386802E-03      5.4602504251950E+00      5.9878346252838E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878346252838E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781347690452E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -2.2200000000000E-14      1.0802179732898E-02      5.4602220555139E+00      5.9878035144472E-01      0.0000000000000E+00      0.0000000000000E+00      5.9878035144472E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554378756469E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -4.3200000000000E-14      1.2740977579883E-02      5.4601731634731E+00      5.9877498983249E-01      0.0000000000000E+00      0.0000000000000E+00      5.9877498983249E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260159204647E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -7.6300000000000E-14      1.4667201620233E-02      5.4600957687202E+00      5.9876650254811E-01      0.0000000000000E+00      0.0000000000000E+00      5.9876650254811E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885163084404E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -1.2560000000000E-13      1.6578950903376E-02      5.4599806563308E+00      5.9875387906206E-01      0.0000000000000E+00      0.0000000000000E+00      5.9875387906206E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413970403340E-02     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -1.9540000000000E-13      1.8474338763579E-02      5.4598174176200E+00      5.9873597793430E-01      0.0000000000000E+00      0.0000000000000E+00      5.9873597793430E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782928234491E-01     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -2.9070000000000E-13      2.0351494681856E-02      5.4595944946805E+00      5.9871153169847E-01      0.0000000000000E+00      0.0000000000000E+00      5.9871153169847E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911193834027E-01     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -4.1670000000000E-13      2.2208566131948E-02      5.4592992279193E+00      5.9867915207484E-01      0.0000000000000E+00      0.0000000000000E+00      5.9867915207484E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5224093497743E-01     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -5.7940000000000E-13      2.4043720408540E-02      5.4589179058172E+00      5.9863733542710E-01      0.0000000000000E+00      0.0000000000000E+00      5.9863733542710E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7719344672911E-01     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -7.8490000000000E-13      2.5855146435923E-02      5.4584358161214E+00      5.9858446837617E-01      0.0000000000000E+00      0.0000000000000E+00      5.9858446837617E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0394484847877E-01     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -1.0398000000000E-12      2.7641056555303E-02      5.4578372976644E+00      5.9851883348287E-01      0.0000000000000E+00      0.0000000000000E+00      5.9851883348287E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3246873982261E-01     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -1.3510000000000E-12      2.9399688289009E-02      5.4571057920118E+00      5.9843861491167E-01      0.0000000000000E+00      0.0000000000000E+00      5.9843861491167E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6273697112362E-01     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -1.7258000000000E-12      3.1129306079840E-02      5.4562238941587E+00      5.9834190399020E-01      0.0000000000000E+00      0.0000000000000E+00      5.9834190399020E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9471967129182E-01     -2.0000000000000E+00      1.0000000000000E+00      6.0000000000000E+00      0.0000000000000E+00     -2.1715000000000E-12      3.2828203003857E-02      5.4551734015221E+00      5.9822670458187E-01      0.0000000000000E+00      0.0000000000000E+00      5.9822670458187E-01      0.0000000000000E+00
