WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999913E+00      1.0000000000000E+00      7.3922991258282E+00      0.0000000000000E+00     -2.0134300245020E-06      9.8687926853680E-04      6.9570648400555E+00      7.6292753071195E-01      0.0000000000000E+00      0.0000000000000E+00      7.6292753071195E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760550E-03     -1.9999999964558E+00      1.0000000000000E+00      7.3901487416023E+00      0.0000000000000E+00     -1.6303418596400E-04      2.9596638749201E-03      6.9566856734060E+00      7.6288595043603E-01      0.0000000000000E+00      0.0000000000000E+00      7.6288595043603E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325331980E-03     -1.9999999428602E+00      1.0000000000000E+00      7.3858500953201E+00      0.0000000000000E+00     -1.2571523268329E-03      4.9295276503831E-03      6.9550925568072E+00      7.6271124565164E-01      0.0000000000000E+00      0.0000000000000E+00      7.6271124565164E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089077090E-02     -1.9999996137500E+00      1.0000000000000E+00      7.3794074292266E+00      0.0000000000000E+00     -4.8247115033286E-03      6.8945265772042E-03      6.9520016552248E+00      7.6237229036431E-01      0.0000000000000E+00      0.0000000000000E+00      7.6237229036431E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684430816E-02     -1.9999983417601E+00      1.0000000000000E+00      7.3708271014553E+00      0.0000000000000E+00     -1.3166718960638E-02      8.8527214386802E-03      6.9472245645104E+00      7.6184842374720E-01      0.0000000000000E+00      0.0000000000000E+00      7.6184842374720E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346755074E-02     -1.9999946277019E+00      1.0000000000000E+00      7.3601175797538E+00      0.0000000000000E+00     -2.9333479802930E-02      1.0802179732898E-02      6.9406241756884E+00      7.6112461011868E-01      0.0000000000000E+00      0.0000000000000E+00      7.6112461011868E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554374036851E-02     -1.9999856291351E+00      1.0000000000000E+00      7.3472894331271E+00      0.0000000000000E+00     -5.7109516059665E-02      1.2740977579883E-02      6.9320979650309E+00      7.6018960649390E-01      0.0000000000000E+00      0.0000000000000E+00      7.6018960649390E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260140180109E-02     -1.9999665345596E+00      1.0000000000000E+00      7.3323553214071E+00      0.0000000000000E+00     -1.0099483307411E-01      1.4667201620233E-02      6.9215693539052E+00      7.5903501508609E-01      0.0000000000000E+00      0.0000000000000E+00      7.5903501508609E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885098427488E-02     -1.9999298320164E+00      1.0000000000000E+00      7.3153299827591E+00      0.0000000000000E+00     -1.6618261089509E-01      1.6578950903376E-02      6.9089826238416E+00      7.5765472568130E-01      0.0000000000000E+00      0.0000000000000E+00      7.5765472568130E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413778242049E-02     -1.9998644824523E+00      1.0000000000000E+00      7.2962302191368E+00      0.0000000000000E+00     -2.5853341320330E-01      1.8474338763579E-02      6.8942996101335E+00      7.5604455305113E-01      0.0000000000000E+00      0.0000000000000E+00      7.5604455305113E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782876981896E-01     -1.9997550096965E+00      1.0000000000000E+00      7.2750748797009E+00      0.0000000000000E+00     -3.8454602078422E-01      2.0351494681856E-02      6.8774973936230E+00      7.5420198382869E-01      0.0000000000000E+00      0.0000000000000E+00      7.5420198382869E-01      0.0000000000000E+00
