WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999913E+00      1.0000000000000E+00      7.5220322138499E+00      0.0000000000000E+00     -2.0134300245020E-06      9.8687926853680E-04      7.0766165040493E+00      7.7603783770208E-01      0.0000000000000E+00      0.0000000000000E+00      7.7603783770208E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760550E-03     -1.9999999964558E+00      1.0000000000000E+00      7.5199178452419E+00      0.0000000000000E+00     -1.6303418596400E-04      2.9596638749201E-03      7.0762239794405E+00      7.7599479256200E-01      0.0000000000000E+00      0.0000000000000E+00      7.7599479256200E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325331980E-03     -1.9999999428602E+00      1.0000000000000E+00      7.5156911946526E+00      0.0000000000000E+00     -1.2571523268329E-03      4.9295276503831E-03      7.0745757625334E+00      7.7581404535266E-01      0.0000000000000E+00      0.0000000000000E+00      7.7581404535266E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089077090E-02     -1.9999996137500E+00      1.0000000000000E+00      7.5093564332756E+00      0.0000000000000E+00     -4.8247115033286E-03      6.8945265772042E-03      7.0713809092398E+00      7.7546369048458E-01      0.0000000000000E+00      0.0000000000000E+00      7.7546369048458E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684430816E-02     -1.9999983417601E+00      1.0000000000000E+00      7.5009198127558E+00      0.0000000000000E+00     -1.3166718960638E-02      8.8527214386802E-03      7.0664478878637E+00      7.7492272415698E-01      0.0000000000000E+00      0.0000000000000E+00      7.7492272415698E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346755074E-02     -1.9999946277019E+00      1.0000000000000E+00      7.4903896590190E+00      0.0000000000000E+00     -2.9333479802930E-02      1.0802179732898E-02      7.0596384868366E+00      7.7417598977535E-01      0.0000000000000E+00      0.0000000000000E+00      7.7417598977535E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554374036851E-02     -1.9999856291351E+00      1.0000000000000E+00      7.4777763640556E+00      0.0000000000000E+00     -5.7109516059665E-02      1.2740977579883E-02      7.0508502507730E+00      7.7321225184946E-01      0.0000000000000E+00      0.0000000000000E+00      7.7321225184946E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260140180109E-02     -1.9999665345596E+00      1.0000000000000E+00      7.4630923756649E+00      0.0000000000000E+00     -1.0099483307411E-01      1.4667201620233E-02      7.0400073430290E+00      7.7202319396067E-01      0.0000000000000E+00      0.0000000000000E+00      7.7202319396067E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885098427488E-02     -1.9999298320164E+00      1.0000000000000E+00      7.4463521851706E+00      0.0000000000000E+00     -1.6618261089509E-01      1.6578950903376E-02      7.0270551370730E+00      7.7060282563949E-01      0.0000000000000E+00      0.0000000000000E+00      7.7060282563949E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413778242049E-02     -1.9998644824523E+00      1.0000000000000E+00      7.4275723131198E+00      0.0000000000000E+00     -2.5853341320330E-01      1.8474338763579E-02      7.0119566847541E+00      7.6894709506774E-01      0.0000000000000E+00      0.0000000000000E+00      7.6894709506774E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782876981896E-01     -1.9997550096965E+00      1.0000000000000E+00      7.4067712929787E+00      0.0000000000000E+00     -3.8454602078422E-01      2.0351494681856E-02      6.9946902458299E+00      7.6705361816111E-01      0.0000000000000E+00      0.0000000000000E+00      7.6705361816111E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911068798117E-01     -1.9995805203085E+00      1.0000000000000E+00      7.3839696528430E+00      0.0000000000000E+00     -5.5132501061303E-01      2.2208566131948E-02      6.9752474837363E+00      7.6492148071301E-01      0.0000000000000E+00      0.0000000000000E+00      7.6492148071301E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5223810437345E-01     -1.9993136679271E+00      1.0000000000000E+00      7.3591898951785E+00      0.0000000000000E+00     -7.6654521518619E-01      2.4043720408540E-02      6.9536321234009E+00      7.6255109120748E-01      0.0000000000000E+00      0.0000000000000E+00      7.6255109120748E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7718743367278E-01     -1.9989195781091E+00      1.0000000000000E+00      7.3324564746144E+00      0.0000000000000E+00     -1.0384132097664E+00      2.5855146435923E-02      6.9298589620856E+00      7.5994407234588E-01      0.0000000000000E+00      0.0000000000000E+00      7.5994407234588E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0393275607760E-01     -1.9983547510799E+00      1.0000000000000E+00      7.3037957738092E+00      0.0000000000000E+00     -1.3756259876491E+00      2.7641056555303E-02      6.9039531759938E+00      7.5710318500781E-01      0.0000000000000E+00      0.0000000000000E+00      7.5710318500781E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3244555475959E-01     -1.9975659614018E+00      1.0000000000000E+00      7.2732360774144E+00      0.0000000000000E+00     -1.7873269953593E+00      2.9399688289009E-02      6.8759498965861E+00      7.5403228178907E-01      0.0000000000000E+00      0.0000000000000E+00      7.5403228178907E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6269434342387E-01     -1.9964891754457E+00      1.0000000000000E+00      7.2408075441608E+00      0.0000000000000E+00     -2.2830597108048E+00      3.1129306079840E-02      6.8458940523051E+00      7.5073628964469E-01      0.0000000000000E+00      0.0000000000000E+00      7.5073628964469E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9464415583063E-01     -1.9950485098569E+00      1.0000000000000E+00      7.2065421770955E+00      0.0000000000000E+00     -2.8727189577906E+00      3.2828203003857E-02      6.8138404899697E+00      7.4722122320140E-01      0.0000000000000E+00      0.0000000000000E+00      7.4722122320140E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.2825586631971E-01     -1.9931552571297E+00      1.0000000000000E+00      7.1704737919990E+00      0.0000000000000E+00     -3.5665001599129E+00      3.4494702454906E-02      6.7798544097791E+00      7.4349423246112E-01      0.0000000000000E+00      0.0000000000000E+00      7.4349423246112E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.6348530832564E-01     -1.9907070081130E+00      1.0000000000000E+00      7.1326379840127E+00      0.0000000000000E+00     -4.3748467456456E+00      3.6127159799229E-02      6.7440121727637E+00      7.3956369134788E-01      0.0000000000000E+00      0.0000000000000E+00      7.3956369134788E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.0028215689166E-01     -1.9875869059615E+00      1.0000000000000E+00      7.0930720925112E+00      0.0000000000000E+00     -5.3083959243839E+00      3.7723963998514E-02      6.7064025747012E+00      7.3543933740831E-01      0.0000000000000E+00      0.0000000000000E+00      7.3543933740831E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.3858854165120E-01     -1.9836630718752E+00      1.0000000000000E+00      7.0518151642525E+00      0.0000000000000E+00     -6.3779230602794E+00      3.9283539199802E-02      6.6671287337006E+00      7.3113247880845E-01      0.0000000000000E+00      0.0000000000000E+00      7.3113247880845E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.7833735905727E-01     -1.9787882500594E+00      1.0000000000000E+00      7.0089079148439E+00      0.0000000000000E+00     -7.5942848768662E+00      4.0804346290659E-02      6.6263108229470E+00      7.2665629401271E-01      0.0000000000000E+00      0.0000000000000E+00      7.2665629401271E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.1945025727229E-01     -1.9727997277225E+00      1.0000000000000E+00      6.9643926885601E+00      0.0000000000000E+00     -8.9683617307041E+00      4.2284884418096E-02      6.5840900192416E+00      7.2202626478972E-01      0.0000000000000E+00      0.0000000000000E+00      7.2202626478972E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.6183527460437E-01     -1.9655195955392E+00      1.0000000000000E+00      6.9183134165552E+00      0.0000000000000E+00     -1.0510999196544E+01      4.3723692469728E-02      6.5406342777050E+00      7.1726080947948E-01      0.0000000000000E+00      0.0000000000000E+00      7.1726080947948E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.0538412325841E-01     -1.9567554246063E+00      1.0000000000000E+00      6.8707155735075E+00      0.0000000000000E+00     -1.2232949209826E+01      4.5119350515718E-02      6.4961469766073E+00      7.1238223100497E-01      0.0000000000000E+00      0.0000000000000E+00      7.1238223100497E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.4996912506295E-01     -1.9463014470695E+00      1.0000000000000E+00      6.8216461327414E+00      0.0000000000000E+00     -1.4144811014634E+01      4.6470481210074E-02      6.4508803069561E+00      7.0741818520483E-01      0.0000000000000E+00      0.0000000000000E+00      7.0741818520483E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.9543982533770E-01     -1.9339403386068E+00      1.0000000000000E+00      6.7711535198707E+00      0.0000000000000E+00     -1.6256972166560E+01      4.7775751149924E-02      6.4051569889979E+00      7.0240406231424E-01      0.0000000000000E+00      0.0000000000000E+00      7.0240406231424E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.4161933573864E-01     -1.9194457108140E+00      1.0000000000000E+00      6.7192875650084E+00      0.0000000000000E+00     -1.8579549840265E+01      4.9033872191426E-02      6.3594077331318E+00      6.9738709501377E-01      0.0000000000000E+00      0.0000000000000E+00      6.9738709501377E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.8830048719494E-01     -1.9025854289052E+00      1.0000000000000E+00      6.6660994535900E+00      0.0000000000000E+00     -2.1122332690811E+01      5.0243602721007E-02      6.3142415387345E+00      6.9243406755817E-01      0.0000000000000E+00      0.0000000000000E+00      6.9243406755817E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.3524191015740E-01     -1.8831258732850E+00      1.0000000000000E+00      6.6116416758600E+00      0.0000000000000E+00     -2.3894723516212E+01      5.1403748880685E-02      6.2705946071563E+00      6.8764764591374E-01      0.0000000000000E+00      0.0000000000000E+00      6.8764764591374E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8216420118777E-01     -1.8608372603607E+00      1.0000000000000E+00      6.5559679750703E+00      0.0000000000000E+00     -2.6905682965920E+01      5.2513165746268E-02      6.2301125706139E+00      6.8320829384681E-01      0.0000000000000E+00      0.0000000000000E+00      6.8320829384681E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      9.2874638180922E-01     -1.8355001259853E+00      1.0000000000000E+00      6.4991332944419E+00      0.0000000000000E+00     -3.0163674536357E+01      5.3570758457251E-02      6.1966092176474E+00      6.7953424007027E-01      0.0000000000000E+00      0.0000000000000E+00      6.7953424007027E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      9.7462447382500E-01     -1.8069154043052E+00      1.0000000000000E+00      6.4566427812839E+00      0.0000000000000E+00     -3.3670647954983E+01      5.4575483297312E-02      6.1859556852477E+00      6.7836594951182E-01      0.0000000000000E+00      0.0000000000000E+00      6.7836594951182E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0194716405869E+00     -1.7750205452506E+00      1.0000000000000E+00      6.4913053161393E+00      0.0000000000000E+00     -3.7154423533028E+01      5.5526348724337E-02      6.2071439403546E+00      6.8068950168799E-01      0.0000000000000E+00      0.0000000000000E+00      6.8068950168799E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0630756319183E+00     -1.7399491781193E+00      1.0000000000000E+00      6.5265493070895E+00      0.0000000000000E+00     -4.0452893269960E+01      5.6422416348948E-02      6.2444869915109E+00      6.8478462548846E-01      0.0000000000000E+00      0.0000000000000E+00      6.8478462548846E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1053026007423E+00     -1.7019175999155E+00      1.0000000000000E+00      6.5623399725705E+00      0.0000000000000E+00     -4.3551005385937E+01      5.7262801860584E-02      6.2877079093437E+00      6.8952432949803E-01      0.0000000000000E+00      0.0000000000000E+00      6.8952432949803E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1460644608882E+00     -1.6611591011259E+00      1.0000000000000E+00      6.5986419915165E+00      0.0000000000000E+00     -4.6434467267932E+01      5.8046675900205E-02      6.3341151095772E+00      6.9461344847211E-01      0.0000000000000E+00      0.0000000000000E+00      6.9461344847211E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1853194137389E+00     -1.6179181109302E+00      1.0000000000000E+00      6.6354195382177E+00      0.0000000000000E+00     -4.9089803914827E+01      5.8773264878773E-02      6.3823957275974E+00      6.9990801069544E-01      0.0000000000000E+00      0.0000000000000E+00      6.9990801069544E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2230712805934E+00     -1.5724449230920E+00      1.0000000000000E+00      6.6726363176755E+00      0.0000000000000E+00     -5.1504413184883E+01      5.9441851740688E-02      6.4317496876750E+00      7.0532027804647E-01      0.0000000000000E+00      0.0000000000000E+00      7.0532027804647E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2593677808743E+00     -1.5249912011037E+00      1.0000000000000E+00      6.7102556014220E+00      0.0000000000000E+00     -5.3666617625529E+01      6.0051776671436E-02      6.4816202065071E+00      7.1078919240369E-01      0.0000000000000E+00      0.0000000000000E+00      7.1078919240369E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2942979153522E+00     -1.4758064069729E+00      1.0000000000000E+00      6.7482402637659E+00      0.0000000000000E+00     -5.5565712678842E+01      6.0602437748749E-02      6.5315796046995E+00      7.1626785347342E-01      0.0000000000000E+00      0.0000000000000E+00      7.1626785347342E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3279886183554E+00     -1.4251352416934E+00      1.0000000000000E+00      6.7865528184315E+00      0.0000000000000E+00     -5.7192011070376E+01      6.1093291536624E-02      6.5812704800124E+00      7.2171706771433E-01      0.0000000000000E+00      0.0000000000000E+00      7.2171706771433E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3606008351226E+00     -1.3732161301198E+00      1.0000000000000E+00      6.8251554555527E+00      0.0000000000000E+00     -5.8536883204065E+01      6.1523853621636E-02      6.6303696993875E+00      7.2710139962138E-01      0.0000000000000E+00      0.0000000000000E+00      7.2710139962138E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3923251625315E+00     -1.3202807311249E+00      1.0000000000000E+00      6.8640100789874E+00      0.0000000000000E+00     -5.9592793401612E+01      6.1893699090988E-02      6.6785613982496E+00      7.3238621076789E-01      0.0000000000000E+00      0.0000000000000E+00      7.3238621076789E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.4233771664455E+00     -1.2665544072073E+00      1.0000000000000E+00      6.9030783439131E+00      0.0000000000000E+00     -6.0353331841224E+01      6.2202462951853E-02      6.7255105407944E+00      7.3753476036663E-01      0.0000000000000E+00      0.0000000000000E+00      7.3753476036663E-01      0.0000000000000E+00
