WingName                 ControlPoint(x)          ControlPoint(y)          ControlPoint(z)          Chord                    Twist(deg)               Sweep(deg)               Dihedral(deg)            Area                     Section_Alpha(deg)       Section_CL               Section_CD_parasitic     Section_Cm               CL(Ref)                  Section_alpha_L0(deg)    
Main                 0.0000000000000E+00      2.4673503667882E-04     -1.9999999999913E+00      1.0000000000000E+00      7.3409426032693E+00      0.0000000000000E+00     -2.0134300245020E-06      9.8687926853680E-04      7.0319090570972E+00      7.7113511753319E-01      0.0000000000000E+00      0.0000000000000E+00      7.7113511753319E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.2202500760550E-03     -1.9999999964558E+00      1.0000000000000E+00      7.3406855538300E+00      0.0000000000000E+00     -1.6303418596400E-04      2.9596638749201E-03      7.0315312140580E+00      7.7109368240738E-01      0.0000000000000E+00      0.0000000000000E+00      7.7109368240738E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.1653325331980E-03     -1.9999999428602E+00      1.0000000000000E+00      7.3401717086281E+00      0.0000000000000E+00     -1.2571523268329E-03      4.9295276503831E-03      7.0299554511225E+00      7.7092088066512E-01      0.0000000000000E+00      0.0000000000000E+00      7.7092088066512E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2078089077090E-02     -1.9999996137500E+00      1.0000000000000E+00      7.3394015747668E+00      0.0000000000000E+00     -4.8247115033286E-03      6.8945265772042E-03      7.0269394093847E+00      7.7059013467835E-01      0.0000000000000E+00      0.0000000000000E+00      7.7059013467835E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.9952684430816E-02     -1.9999983417601E+00      1.0000000000000E+00      7.3383759122752E+00      0.0000000000000E+00     -1.3166718960638E-02      8.8527214386802E-03      7.0223426663688E+00      7.7008604539946E-01      0.0000000000000E+00      0.0000000000000E+00      7.7008604539946E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9781346755074E-02     -1.9999946277019E+00      1.0000000000000E+00      7.3370957333585E+00      0.0000000000000E+00     -2.9333479802930E-02      1.0802179732898E-02      7.0160758081781E+00      7.6939880749745E-01      0.0000000000000E+00      0.0000000000000E+00      7.6939880749745E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.1554374036851E-02     -1.9999856291351E+00      1.0000000000000E+00      7.3355623013986E+00      0.0000000000000E+00     -5.7109516059665E-02      1.2740977579883E-02      7.0080791192292E+00      7.6852187242586E-01      0.0000000000000E+00      0.0000000000000E+00      7.6852187242586E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.5260140180109E-02     -1.9999665345596E+00      1.0000000000000E+00      7.3337771297077E+00      0.0000000000000E+00     -1.0099483307411E-01      1.4667201620233E-02      6.9983104212953E+00      7.6745061482450E-01      0.0000000000000E+00      0.0000000000000E+00      7.6745061482450E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.0885098427488E-02     -1.9999298320164E+00      1.0000000000000E+00      7.3317419800348E+00      0.0000000000000E+00     -1.6618261089509E-01      1.6578950903376E-02      6.9867370507283E+00      7.6618145272358E-01      0.0000000000000E+00      0.0000000000000E+00      7.6618145272358E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8413778242049E-02     -1.9998644824523E+00      1.0000000000000E+00      7.3294588608270E+00      0.0000000000000E+00     -2.5853341320330E-01      1.8474338763579E-02      6.9733298416873E+00      7.6471118773072E-01      0.0000000000000E+00      0.0000000000000E+00      7.6471118773072E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0782876981896E-01     -1.9997550096965E+00      1.0000000000000E+00      7.3269300252471E+00      0.0000000000000E+00     -3.8454602078422E-01      2.0351494681856E-02      6.9580579744311E+00      7.6303644008311E-01      0.0000000000000E+00      0.0000000000000E+00      7.6303644008311E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2911068798117E-01     -1.9995805203085E+00      1.0000000000000E+00      7.3241579689506E+00      0.0000000000000E+00     -5.5132501061303E-01      2.2208566131948E-02      6.9408838171958E+00      7.6115308299606E-01      0.0000000000000E+00      0.0000000000000E+00      7.6115308299606E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5223810437345E-01     -1.9993136679271E+00      1.0000000000000E+00      7.3211454276225E+00      0.0000000000000E+00     -7.6654521518619E-01      2.4043720408540E-02      6.9217567055441E+00      7.5905556049231E-01      0.0000000000000E+00      0.0000000000000E+00      7.5905556049231E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7718743367278E-01     -1.9989195781091E+00      1.0000000000000E+00      7.3178953742772E+00      0.0000000000000E+00     -1.0384132097664E+00      2.5855146435923E-02      6.9006037152968E+00      7.5673587554074E-01      0.0000000000000E+00      0.0000000000000E+00      7.5673587554074E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.0393275607760E-01     -1.9983547510799E+00      1.0000000000000E+00      7.3144110163251E+00      0.0000000000000E+00     -1.3756259876491E+00      2.7641056555303E-02      6.8773124599372E+00      7.5418170358070E-01      0.0000000000000E+00      0.0000000000000E+00      7.5418170358070E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.3244555475959E-01     -1.9975659614018E+00      1.0000000000000E+00      7.3106957924068E+00      0.0000000000000E+00     -1.7873269953593E+00      2.9399688289009E-02      6.8516874094700E+00      7.5137160234882E-01      0.0000000000000E+00      0.0000000000000E+00      7.5137160234882E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.6269434342387E-01     -1.9964891754457E+00      1.0000000000000E+00      7.2895658756858E+00      0.0000000000000E+00     -2.2830597108048E+00      3.1129306079840E-02      6.8231867110594E+00      7.4824615103251E-01      0.0000000000000E+00      0.0000000000000E+00      7.4824615103251E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      2.9464415583063E-01     -1.9950485098569E+00      1.0000000000000E+00      7.2422421242074E+00      0.0000000000000E+00     -2.8727189577906E+00      3.2828203003857E-02      6.7915521610419E+00      7.4477703443164E-01      0.0000000000000E+00      0.0000000000000E+00      7.4477703443164E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.2825586631971E-01     -1.9931552571297E+00      1.0000000000000E+00      7.1924282322597E+00      0.0000000000000E+00     -3.5665001599129E+00      3.4494702454906E-02      6.7573831782137E+00      7.4102998617273E-01      0.0000000000000E+00      0.0000000000000E+00      7.4102998617273E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      3.6348530832564E-01     -1.9907070081130E+00      1.0000000000000E+00      7.1401733601401E+00      0.0000000000000E+00     -4.3748467456456E+00      3.6127159799229E-02      6.7209440414101E+00      7.3703398767307E-01      0.0000000000000E+00      0.0000000000000E+00      7.3703398767307E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.0028215689166E-01     -1.9875869059615E+00      1.0000000000000E+00      7.0855290770984E+00      0.0000000000000E+00     -5.3083959243839E+00      3.7723963998514E-02      6.6824627722965E+00      7.3281404430637E-01      0.0000000000000E+00      0.0000000000000E+00      7.3281404430637E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.3858854165120E-01     -1.9836630718752E+00      1.0000000000000E+00      7.0285493104449E+00      0.0000000000000E+00     -6.3779230602794E+00      3.9283539199802E-02      6.6421796112449E+00      7.2839650137743E-01      0.0000000000000E+00      0.0000000000000E+00      7.2839650137743E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      4.7833735905727E-01     -1.9787882500594E+00      1.0000000000000E+00      6.9692902923298E+00      0.0000000000000E+00     -7.5942848768662E+00      4.0804346290659E-02      6.6003864627145E+00      7.2381336979220E-01      0.0000000000000E+00      0.0000000000000E+00      7.2381336979220E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.1945025727229E-01     -1.9727997277225E+00      1.0000000000000E+00      6.9169474902839E+00      0.0000000000000E+00     -8.9683617307041E+00      4.2284884418096E-02      6.5576007806053E+00      7.1912139472054E-01      0.0000000000000E+00      0.0000000000000E+00      7.1912139472054E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      5.6183527460437E-01     -1.9655195955392E+00      1.0000000000000E+00      6.8722574396475E+00      0.0000000000000E+00     -1.0510999196544E+01      4.3723692469728E-02      6.5140783669429E+00      7.1434862799356E-01      0.0000000000000E+00      0.0000000000000E+00      7.1434862799356E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.0538412325841E-01     -1.9567554246063E+00      1.0000000000000E+00      6.8260946006217E+00      0.0000000000000E+00     -1.2232949209826E+01      4.5119350515718E-02      6.4697586929295E+00      7.0948843188581E-01      0.0000000000000E+00      0.0000000000000E+00      7.0948843188581E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.4996912506295E-01     -1.9463014470695E+00      1.0000000000000E+00      6.7785045303553E+00      0.0000000000000E+00     -1.4144811014634E+01      4.6470481210074E-02      6.4248194137180E+00      7.0456028846484E-01      0.0000000000000E+00      0.0000000000000E+00      7.0456028846484E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      6.9543982533770E-01     -1.9339403386068E+00      1.0000000000000E+00      6.7295341945021E+00      0.0000000000000E+00     -1.6256972166560E+01      4.7775751149924E-02      6.3795454547331E+00      6.9959544329981E-01      0.0000000000000E+00      0.0000000000000E+00      6.9959544329981E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.4161933573864E-01     -1.9194457108140E+00      1.0000000000000E+00      6.6792319208712E+00      0.0000000000000E+00     -1.8579549840265E+01      4.9033872191426E-02      6.3343490043506E+00      6.9463909790416E-01      0.0000000000000E+00      0.0000000000000E+00      6.9463909790416E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      7.8830048719494E-01     -1.9025854289052E+00      1.0000000000000E+00      6.6295687287705E+00      0.0000000000000E+00     -2.1122332690811E+01      5.0243602721007E-02      6.2898662024168E+00      6.8976101281817E-01      0.0000000000000E+00      0.0000000000000E+00      6.8976101281817E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.3524191015740E-01     -1.8831258732850E+00      1.0000000000000E+00      6.5787394355666E+00      0.0000000000000E+00     -2.3894723516212E+01      5.1403748880685E-02      6.2469471975399E+00      6.8505441726903E-01      0.0000000000000E+00      0.0000000000000E+00      6.8505441726903E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      8.8216420118777E-01     -1.8608372603607E+00      1.0000000000000E+00      6.5267752354256E+00      0.0000000000000E+00     -2.6905682965920E+01      5.2513165746268E-02      6.2071798027085E+00      6.8069343443516E-01      0.0000000000000E+00      0.0000000000000E+00      6.8069343443516E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      9.2874638180922E-01     -1.8355001259853E+00      1.0000000000000E+00      6.4737274107396E+00      0.0000000000000E+00     -3.0163674536357E+01      5.3570758457251E-02      6.1742968052223E+00      6.7708741024949E-01      0.0000000000000E+00      0.0000000000000E+00      6.7708741024949E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      9.7462447382500E-01     -1.8069154043052E+00      1.0000000000000E+00      6.4335766898135E+00      0.0000000000000E+00     -3.3670647954983E+01      5.4575483297312E-02      6.1639341826123E+00      6.7595102151929E-01      0.0000000000000E+00      0.0000000000000E+00      6.7595102151929E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0194716405869E+00     -1.7750205452506E+00      1.0000000000000E+00      6.4629513674159E+00      0.0000000000000E+00     -3.7154423533028E+01      5.5526348724337E-02      6.1848367043853E+00      6.7824323952911E-01      0.0000000000000E+00      0.0000000000000E+00      6.7824323952911E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.0630756319183E+00     -1.7399491781193E+00      1.0000000000000E+00      6.4928187985170E+00      0.0000000000000E+00     -4.0452893269960E+01      5.6422416348948E-02      6.2216977331840E+00      6.8228550366311E-01      0.0000000000000E+00      0.0000000000000E+00      6.8228550366311E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1053026007423E+00     -1.7019175999155E+00      1.0000000000000E+00      6.5231495075683E+00      0.0000000000000E+00     -4.3551005385937E+01      5.7262801860584E-02      6.2644429804233E+00      6.8697304455511E-01      0.0000000000000E+00      0.0000000000000E+00      6.8697304455511E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1460644608882E+00     -1.6611591011259E+00      1.0000000000000E+00      6.5539135618217E+00      0.0000000000000E+00     -4.6434467267932E+01      5.8046675900205E-02      6.3105461371760E+00      6.9202882143055E-01      0.0000000000000E+00      0.0000000000000E+00      6.9202882143055E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.1853194137389E+00     -1.6179181109302E+00      1.0000000000000E+00      6.5939167357486E+00      0.0000000000000E+00     -4.9089803914827E+01      5.8773264878773E-02      6.3590946434243E+00      6.9735276088538E-01      0.0000000000000E+00      0.0000000000000E+00      6.9735276088538E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2230712805934E+00     -1.5724449230920E+00      1.0000000000000E+00      6.6375894046744E+00      0.0000000000000E+00     -5.1504413184883E+01      5.9441851740688E-02      6.4091512936564E+00      7.0284208683465E-01      0.0000000000000E+00      0.0000000000000E+00      7.0284208683465E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2593677808743E+00     -1.5249912011037E+00      1.0000000000000E+00      6.6817343991693E+00      0.0000000000000E+00     -5.3666617625529E+01      6.0051776671436E-02      6.4599944576153E+00      7.0841766366548E-01      0.0000000000000E+00      0.0000000000000E+00      7.0841766366548E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.2942979153522E+00     -1.4758064069729E+00      1.0000000000000E+00      6.7263081534535E+00      0.0000000000000E+00     -5.5565712678842E+01      6.0602437748749E-02      6.5111406359006E+00      7.1402646973551E-01      0.0000000000000E+00      0.0000000000000E+00      7.1402646973551E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3279886183554E+00     -1.4251352416934E+00      1.0000000000000E+00      6.7724990571877E+00      0.0000000000000E+00     -5.7192011070376E+01      6.1093291536624E-02      6.5622334486686E+00      7.1962942362173E-01      0.0000000000000E+00      0.0000000000000E+00      7.1962942362173E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3606008351226E+00     -1.3732161301198E+00      1.0000000000000E+00      6.8200802665059E+00      0.0000000000000E+00     -5.8536883204065E+01      6.1523853621636E-02      6.6128839233785E+00      7.2518386971188E-01      0.0000000000000E+00      0.0000000000000E+00      7.2518386971188E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.3923251625315E+00     -1.3202807311249E+00      1.0000000000000E+00      6.8679720715351E+00      0.0000000000000E+00     -5.9592793401612E+01      6.1893699090988E-02      6.6626456485697E+00      7.3064085351135E-01      0.0000000000000E+00      0.0000000000000E+00      7.3064085351135E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.4233771664455E+00     -1.2665544072073E+00      1.0000000000000E+00      6.9161272088458E+00      0.0000000000000E+00     -6.0353331841224E+01      6.2202462951853E-02      6.7110535022803E+00      7.3594936868946E-01      0.0000000000000E+00      0.0000000000000E+00      7.3594936868946E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.4539924601716E+00     -1.2122575470492E+00      1.0000000000000E+00      6.9611407001169E+00      0.0000000000000E+00     -6.0813242067450E+01      6.2449840491580E-02      6.7574618241044E+00      7.4103861065971E-01      0.0000000000000E+00      0.0000000000000E+00      7.4103861065971E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.4844215993536E+00     -1.1576076001544E+00      1.0000000000000E+00      7.0028012133621E+00      0.0000000000000E+00     -6.0968443961377E+01      6.2635587578402E-02      6.8012783114697E+00      7.4584362617683E-01      0.0000000000000E+00      0.0000000000000E+00      7.4584362617683E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5149248221611E+00     -1.1028216544837E+00      1.0000000000000E+00      7.0445648676771E+00      0.0000000000000E+00     -6.0816052078344E+01      6.2759520902370E-02      6.8418231751731E+00      7.5028986801293E-01      0.0000000000000E+00      0.0000000000000E+00      7.5028986801293E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5457666426352E+00     -1.0481193655562E+00      1.0000000000000E+00      7.0863904473771E+00      0.0000000000000E+00     -6.0354389278582E+01      6.2821518156257E-02      6.8770490290355E+00      7.5415281514973E-01      0.0000000000000E+00      0.0000000000000E+00      7.5415281514973E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.5772008241301E+00     -9.9372047225923E-01      1.0000000000000E+00      7.1179676547906E+00      0.0000000000000E+00     -5.9603017154861E+01      6.2821518156256E-02      6.9014445912199E+00      7.5682808790420E-01      0.0000000000000E+00      0.0000000000000E+00      7.5682808790420E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.6094088591590E+00     -9.3981304760939E-01      1.0000000000000E+00      7.1392653270262E+00      0.0000000000000E+00     -5.8682707806407E+01      6.2759520902370E-02      6.9146979359072E+00      7.5828147978259E-01      0.0000000000000E+00      0.0000000000000E+00      7.5828147978259E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.6424977302893E+00     -8.8655200600615E-01      1.0000000000000E+00      7.1605314667268E+00      0.0000000000000E+00     -5.7614832894383E+01      6.2635587578402E-02      6.9215806730160E+00      7.5903625636548E-01      0.0000000000000E+00      0.0000000000000E+00      7.5903625636548E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.6765554154337E+00     -8.3409067060567E-01      1.0000000000000E+00      7.1817450867801E+00      0.0000000000000E+00     -5.6401328272291E+01      6.2449840491580E-02      6.9231397944017E+00      7.5920723315760E-01      0.0000000000000E+00      0.0000000000000E+00      7.5920723315760E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7116584027399E+00     -7.8258587904896E-01      1.0000000000000E+00      7.1850791035964E+00      0.0000000000000E+00     -5.5044710154785E+01      6.2202462951853E-02      6.9184043988027E+00      7.5868793892155E-01      0.0000000000000E+00      0.0000000000000E+00      7.5868793892155E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7478697511766E+00     -7.3219742953197E-01      1.0000000000000E+00      7.1713800439682E+00      0.0000000000000E+00     -5.3548067430434E+01      6.1893699090988E-02      6.9071753387837E+00      7.5745653469728E-01      0.0000000000000E+00      0.0000000000000E+00      7.5745653469728E-01      0.0000000000000E+00
Main                 0.0000000000000E+00      1.7852372768848E+00     -6.8308727415275E-01      1.0000000000000E+00      7.1577558964851E+00      0.0000000000000E+00     -5.1915051706631E+01      6.1523853621635E-02      6.8900939703648E+00      7.5558335304257E-01      0.0000000000000E+00      0.0000000000000E+00      7.5558335304257E-01      0.0000000000000E+00
